accX,accY,accZ,gyroX,gyroY,gyroZ
-106,-796,-156,-12,154,-236
-197,-766,-46,8,119,-177
-204,-679,8,43,66,-97
-184,-637,9,14,17,-22
-228,-814,-36,-29,-40,46
-172,-980,-96,27,-111,118
-18,-853,-123,97,-158,172
194,-699,-216,37,-153,201
237,-961,-370,-113,-74,216
84,-1507,-362,-17,10,250
-1,-1107,-200,145,-23,227
-54,-877,-98,59,-153,151
-51,-988,-183,-22,-312,23
-45,-940,-306,-7,-428,-67
8,-793,-390,-21,-436,-89
101,-774,-434,-53,-436,-79
203,-822,-488,-55,-425,-42
274,-897,-500,-34,-311,19
263,-925,-446,7,-196,77
241,-855,-365,15,-149,95
240,-794,-315,-42,-149,70
230,-901,-343,-172,-177,1
290,-1100,-282,-181,-171,-41
275,-908,-152,-130,-139,-64
228,-952,-128,-176,-127,-97
170,-1162,-128,-125,-129,-111
234,-1059,-158,-11,-139,-114
349,-885,-203,-22,-114,-143
313,-987,-273,-103,-57,-191
217,-1237,-381,-97,28,-181
84,-1328,-351,5,93,-152
35,-1098,-256,92,100,-148
32,-873,-209,81,87,-151
21,-815,-183,40,70,-141
26,-825,-191,25,75,-112
-15,-839,-167,18,70,-86
-46,-860,-150,24,42,-64
-33,-832,-171,27,10,-45
-19,-907,-203,-5,-9,-24
-42,-1028,-212,6,-32,-7
-54,-1063,-201,33,-72,-1
48,-888,-153,87,-94,19
109,-707,-112,40,-93,26
80,-890,-121,-53,-92,18
63,-1074,-128,-3,-91,23
57,-904,-96,52,-90,32
33,-828,-96,25,-104,31
35,-836,-145,18,-111,50
61,-816,-172,3,-113,76
82,-844,-148,-23,-117,88
107,-881,-136,-41,-132,75
123,-919,-131,-43,-152,46
132,-887,-141,-40,-154,31
76,-932,-89,-68,-206,-1
146,-937,-131,-60,-233,-13
207,-893,-100,-76,-251,-32
307,-931,-156,-107,-222,-36
331,-1001,-159,-80,-147,-17
319,-936,-128,-38,-64,5
297,-899,-153,-64,-5,21
322,-998,-228,-46,129,83
168,-1028,-85,-40,157,76
71,-1136,-57,-29,117,8
55,-1150,-169,38,63,-50
50,-953,-179,93,51,-55
46,-846,-142,50,22,-69
94,-973,-220,-22,-18,-109
117,-1134,-300,-2,-27,-131
135,-1036,-304,52,-5,-133
123,-912,-261,56,13,-136
69,-899,-241,44,12,-152
15,-852,-242,48,5,-151
10,-776,-235,35,-3,-117
47,-749,-214,-2,11,-60
62,-782,-167,-18,31,-6
67,-803,-126,-23,43,28
43,-865,-114,-33,37,44
38,-911,-128,-13,18,50
43,-857,-168,-12,0,57
