accX,accY,accZ,gyroX,gyroY,gyroZ
-1902,-905,896,436,436,68
-1062,-191,717,172,-194,0
-1041,-421,457,-243,-436,-30
-1087,-871,-533,-429,-436,-203
-373,-688,-1679,-380,-436,-428
608,-347,-1833,-387,-436,-436
1135,-774,-1257,-390,-436,-436
1841,-1568,-1277,160,354,20
1223,-235,-1961,436,436,436
-364,175,-1961,436,436,436
-1961,-488,652,368,436,249
-1699,327,812,-125,-436,-79
-452,24,-274,-436,-436,-314
435,-1509,-1070,-436,-436,-395
1013,-1524,-845,70,-436,-208
825,-644,-304,231,-30,-37
316,-936,-310,128,256,92
99,-1012,-241,277,291,222
13,-668,6,229,236,185
-36,-652,141,-1,119,69
12,-933,102,-123,31,9
77,-1111,68,-87,-6,13
116,-1121,43,-32,-3,20
88,-1090,10,35,-2,20
82,-936,-9,67,-9,18
86,-861,-13,31,-18,9
105,-881,-9,-26,-15,5
82,-1014,26,-67,-11,0
60,-1070,74,-53,-35,-9
110,-972,113,-32,-60,-22
134,-869,125,-31,-70,-43
184,-834,106,-50,-58,-51
169,-932,69,-76,-9,-42
142,-1073,58,-83,45,-11
120,-1092,97,-57,91,30
103,-1019,160,-54,109,50
133,-1006,162,-39,111,55
140,-975,167,-17,123,57
46,-998,164,-9,118,49
23,-1032,140,3,84,55
119,-998,116,13,68,69
190,-975,118,9,80,69
189,-1003,124,11,93,57
141,-1019,121,21,85,26
105,-1036,87,29,64,-7
57,-1018,51,36,43,-30
34,-986,35,32,20,-45
25,-967,29,25,0,-53
18,-941,29,21,-22,-58
32,-895,22,15,-39,-58
54,-875,13,1,-41,-55
49,-895,17,-15,-33,-44
40,-914,34,-19,-27,-27
48,-924,28,-19,-27,-15
53,-951,22,-25,-25,-8
41,-965,16,-26,-31,-7
64,-957,12,-32,-38,-8
95,-929,5,-34,-28,-5
110,-908,18,-43,0,7
80,-924,53,-49,31,24
60,-919,91,-47,42,43
87,-942,103,-53,53,64
108,-1011,113,-46,67,83
111,-1029,125,-33,69,90
111,-1056,126,-24,55,78
107,-1075,108,-6,33,56
120,-1046,78,9,17,37
118,-1015,55,19,11,19
112,-963,39,21,2,3
87,-955,31,10,-2,-15
67,-956,19,4,-14,-29
57,-966,10,-1,-20,-36
40,-978,3,-3,-24,-40
48,-955,2,-5,-28,-42
58,-955,7,-13,-25,-42
61,-954,6,-13,-16,-38
66,-935,13,-14,-2,-30
58,-940,38,-20,14,-19
29,-955,64,-19,20,-9
28,-958,77,-17,13,-4
