accX,accY,accZ,gyroX,gyroY,gyroZ
-251,-646,10,-69,90,95
-213,-775,-44,-144,91,137
-297,-947,-34,-180,94,178
-321,-1032,-34,-181,72,226
-252,-993,-45,-204,59,263
-239,-1082,-37,-251,57,276
-262,-1244,-3,-260,31,256
-249,-1323,44,-222,-24,209
-182,-1321,58,-162,-93,150
-103,-1267,40,-98,-154,79
-54,-1200,-17,-46,-186,18
-18,-1110,-76,-4,-187,-2
43,-1027,-113,6,-158,13
135,-1029,-153,15,-99,49
203,-1011,-143,18,-14,77
195,-1071,-97,13,59,75
158,-1092,-28,34,98,42
83,-1069,19,61,101,-19
-13,-1072,10,88,78,-82
-75,-1054,-33,117,52,-119
-108,-1040,-84,129,31,-138
-96,-1025,-134,131,18,-144
-78,-1047,-169,121,26,-146
-113,-1017,-149,105,33,-150
-128,-1009,-151,99,27,-150
-118,-995,-154,79,29,-146
-172,-1055,-144,60,30,-142
-155,-973,-142,91,15,-130
-110,-847,-148,51,23,-119
-169,-862,-85,5,36,-102
-206,-830,-46,-29,28,-73
-199,-832,7,-52,22,-38
-161,-731,42,-79,18,-3
-163,-834,68,-123,37,17
-241,-859,122,-115,30,29
-248,-862,118,-110,0,48
-220,-920,95,-108,-12,74
-216,-1002,53,-85,-18,90
-275,-1025,39,-74,-28,92
-280,-1018,11,-81,-66,104
-181,-992,-17,-109,-82,119
-93,-1013,-8,-135,-61,128
-111,-1062,53,-130,-33,126
-139,-1073,85,-101,-39,115
-120,-1057,88,-59,-64,98
-68,-991,51,-30,-83,78
-32,-947,8,-27,-85,61
-8,-946,-13,-39,-70,53
37,-946,-20,-60,-38,61
70,-1068,-34,-77,5,73
81,-1249,-26,-51,47,72
79,-1220,10,6,72,41
60,-1116,61,62,73,-11
16,-1071,21,83,60,-67
-21,-1126,-67,113,61,-99
-17,-1095,-129,133,85,-103
-19,-1104,-171,135,131,-94
-64,-1180,-203,157,192,-82
-205,-1124,-155,188,215,-65
-276,-1072,-122,206,167,-57
-228,-973,-111,194,100,-55
-165,-914,-93,164,43,-62
-141,-887,-74,140,-11,-95
-132,-801,-75,113,-66,-144
-133,-726,-81,69,-102,-173
-102,-657,-89,21,-104,-161
-33,-595,-87,-32,-54,-100
-54,-689,-51,-76,27,-15
-149,-794,0,-77,74,59
-239,-910,-11,-90,69,109
-250,-1027,2,-77,27,129
-230,-932,-5,-111,-21,118
-254,-1085,-21,-142,-75,96
-214,-1010,-72,-181,-106,89
-203,-1090,-58,-229,-97,107
-202,-1142,0,-239,-94,132
-183,-1196,66,-189,-121,124
-172,-1091,107,-119,-157,110
-156,-1018,133,-66,-218,94
