accX,accY,accZ,gyroX,gyroY,gyroZ
-1735,-1417,489,436,285,-65
-1823,-869,-324,428,-436,-436
-1486,284,-921,159,-436,-436
-392,515,-1218,-410,-436,-385
682,-491,-1269,-436,-436,-315
1200,-1451,-920,-420,-425,-234
833,-1062,-678,196,399,199
163,-678,-740,436,436,436
-342,-459,-305,436,436,436
-614,-260,32,209,436,332
-850,-484,335,-240,143,225
-702,-1037,118,-436,-332,127
-485,-1419,-213,-420,-436,-21
-80,-1189,-619,-275,-436,-140
520,-1152,-876,-160,-436,-158
865,-1079,-868,18,-381,-93
736,-886,-731,147,74,46
320,-747,-482,153,330,122
-15,-689,-205,70,345,100
-231,-716,50,-89,181,34
-210,-902,110,-196,-12,-38
-126,-984,75,-211,-191,-106
37,-997,-22,-185,-283,-139
187,-1049,-131,-135,-279,-139
240,-1048,-170,-52,-191,-119
-119,-895,50,-32,-224,-170
-159,-790,-26,-122,-406,-258
151,-791,-345,-167,-436,-282
284,-929,-399,-115,-224,-88
358,-1206,-330,75,43,43
322,-824,-370,160,199,33
192,-738,-343,120,279,53
91,-813,-291,115,289,34
-58,-809,-229,59,232,12
-142,-945,-160,9,126,-27
-205,-1004,-172,-11,-35,-94
-144,-1031,-264,-22,-164,-136
12,-933,-345,10,-214,-140
154,-761,-361,36,-170,-102
197,-660,-349,24,-78,-43
132,-685,-324,-12,10,18
39,-767,-288,-21,53,81
39,-803,-266,-28,55,128
79,-863,-260,-60,46,149
136,-967,-249,-88,39,150
158,-1050,-184,-72,33,125
151,-1027,-144,-30,13,70
128,-960,-145,-9,-13,16
99,-933,-193,-19,-30,-4
109,-988,-240,-19,-29,5
108,-1000,-230,-20,-20,20
142,-1055,-177,-16,-25,20
162,-979,-143,-11,-29,6
170,-1135,-183,-40,-43,-30
252,-1118,-164,67,-25,-53
292,-747,-73,116,12,-78
232,-654,-79,-10,38,-124
112,-1111,-224,-102,56,-158
12,-1314,-295,84,78,-152
-19,-827,-239,138,77,-120
13,-817,-193,25,49,-108
