accX,accY,accZ,gyroX,gyroY,gyroZ
946,1961,-876,123,-112,45
-40,-1084,1308,-436,41,39
-69,-1026,1891,156,5,24
21,-210,1332,17,30,-60
-59,-477,1227,-64,58,-88
-206,-741,1459,-110,76,-73
-274,-561,1472,-35,62,-64
-236,-452,1292,-48,39,-37
-213,-512,1142,-19,-9,6
-12,-291,891,62,-34,19
68,32,700,64,-37,3
99,22,678,-4,-44,-8
-17,-153,868,-13,-54,-11
-4,-471,1001,-64,-34,-45
-142,-917,1315,-74,93,-78
-375,-635,1527,-9,67,-33
-62,-366,1206,-20,-59,8
163,-201,805,-97,-81,-9
159,-180,546,-226,-61,-44
116,-172,417,-375,-27,-51
0,-309,329,-436,-9,-36
-110,-621,310,-436,-53,-2
-58,-860,302,-436,-125,24
23,-997,291,-436,-153,3
11,-1251,184,-399,-130,-47
-82,-1680,78,-242,-65,-26
-49,-1960,-150,-18,29,128
273,-1937,-300,139,114,259
550,-1902,-109,105,183,133
424,-1849,450,-6,143,-215
277,-1895,686,-48,91,-436
130,-1961,898,171,34,-436
733,-1674,603,436,75,-419
1000,-1509,613,436,225,-436
877,-1100,920,436,354,-436
357,-688,1192,436,291,-436
-119,-699,1032,436,172,-436
-107,-518,646,436,125,-424
-262,-233,318,436,79,-361
-129,203,59,436,48,-300
-35,769,-127,436,21,-208
245,1137,-219,436,-6,-144
199,1032,-51,257,-10,-151
177,777,58,278,20,-154
163,1053,-129,270,39,-146
80,1119,-178,123,114,-138
-136,691,63,27,137,-129
-204,585,173,-11,141,-85
-110,491,234,-160,161,-113
-35,259,637,-348,297,-107
-574,-140,1558,-389,400,-155
-668,665,1793,-129,290,-39
211,1665,1258,-71,122,124
230,-285,710,-71,-12,2
-97,866,101,85,173,-171
-714,1151,874,-129,66,-61
-264,758,811,-25,-30,72
-93,972,560,-16,-20,61
-215,513,937,-99,-58,-21
-214,730,989,60,-95,-13
-125,840,898,-65,-127,8
-198,347,1168,-123,-127,22
-274,361,1257,-57,-201,26
-114,469,889,-109,-248,16
108,448,663,-224,-248,-25
85,380,647,-288,-186,-68
80,513,669,-252,-199,-3
31,627,624,-186,-157,89
-87,948,543,-198,-175,127
-152,1110,523,-333,-240,171
54,693,517,-436,-268,284
260,359,667,-345,-178,330
122,531,811,-389,-78,340
-117,110,902,-416,-73,436
23,-118,755,-436,-148,436
301,-452,443,-436,-170,436
444,-1177,112,-436,-21,436
-233,-1961,525,-436,13,420
-444,-1711,413,-329,-185,253
