accX,accY,accZ,gyroX,gyroY,gyroZ
-185,-1803,-285,436,199,-115
-231,-278,-751,436,195,30
323,1350,-1624,436,123,41
75,1733,39,-206,-35,-48
290,-1083,780,-436,-86,-65
198,-1961,1120,201,30,13
281,-156,940,334,19,-31
123,-352,1130,-117,21,-77
275,-946,1219,-11,17,-98
186,-433,1150,108,15,-127
312,-415,1190,-7,-99,-144
626,-483,1356,-26,-210,-201
866,-729,1510,-93,-273,-293
1091,-1263,1553,-45,-270,-425
961,-893,1549,165,-240,-436
841,-383,1558,69,-279,-436
1005,-529,1402,105,-293,-436
927,-234,1196,154,-225,-436
575,-51,1056,142,-198,-436
217,-117,737,180,-97,-436
-241,71,640,296,-79,-412
-201,264,482,329,-104,-317
-31,748,434,361,-120,-198
199,801,234,90,-171,-157
253,262,-197,-28,-59,-205
-56,618,-168,227,44,-129
-166,1134,-139,47,-60,-13
437,823,-283,-101,-140,-4
606,989,-294,10,-1,-63
182,1075,-199,-26,36,-134
267,1087,-401,25,30,-185
144,1445,-328,13,69,-138
313,1216,-208,-33,-9,-151
300,1417,-325,-32,144,-144
-238,1243,354,-156,87,-92
317,943,237,-137,-11,-13
180,888,324,-201,195,-43
-63,367,783,-355,93,-63
401,85,617,-342,203,-99
-318,18,1151,-436,406,-104
-478,-799,1782,-246,187,-15
0,617,1961,436,-133,154
383,1032,534,2,45,-130
-433,214,553,111,161,-190
-583,1542,829,195,12,-96
-575,690,1457,-267,-202,32
316,332,978,172,-241,41
-154,986,1344,37,-32,97
17,-105,1217,-171,-296,-29
358,112,581,398,-15,-33
-285,1229,581,279,85,29
-98,676,493,-56,-117,-121
-33,726,169,160,98,-82
-502,995,280,142,62,-32
-198,1015,-55,76,-54,27
-444,1951,68,-32,-88,215
-257,713,-36,-402,-364,232
44,261,-432,146,-92,84
-387,1727,-751,395,164,143
-313,1516,-266,-309,69,104
137,514,311,-363,6,138
394,302,394,-95,66,215
213,630,85,-9,115,217
146,956,-113,-118,154,243
35,1049,-5,-422,238,286
-84,279,163,-436,166,284
73,271,608,-436,116,370
-35,-558,881,-436,-30,291
738,-1023,592,-342,-227,204
767,32,666,23,275,273
-387,43,1311,-362,109,200
779,-229,492,-436,-49,211
135,-362,695,-436,252,334
-499,-1179,1196,-436,-197,218
533,-1446,455,-436,-242,233
-127,-1096,647,-436,-240,257
150,-1862,121,-436,-434,244
391,-1961,-194,-288,-385,223
289,-1768,-211,-317,-373,245
