accX,accY,accZ,gyroX,gyroY,gyroZ
69,123,975,248,25,66
151,47,834,169,-4,105
56,127,656,109,17,108
42,-23,707,-26,38,130
73,-353,980,-36,0,138
173,-366,971,-7,-10,122
165,-350,1034,-38,7,71
107,-441,1240,-39,4,34
119,-365,1291,-46,-8,22
138,-318,1313,-57,-5,7
108,-241,1306,-39,-1,-13
111,-116,1223,-42,-2,-23
91,-124,1211,-45,-6,-19
105,-152,1194,-55,-15,-6
138,-165,1150,-65,-40,2
172,-179,1087,-108,-65,12
242,-232,991,-170,-124,21
407,-489,1015,-182,-142,13
371,-286,932,-197,-108,-19
416,-558,970,-341,-136,-56
569,-918,973,-302,-146,-89
632,-848,974,-276,-201,-101
1169,-1161,880,-347,-276,-171
1634,-1566,772,-254,-200,-312
1662,-1303,760,-146,-109,-391
1483,-1004,721,-105,6,-436
1325,-825,741,-73,26,-436
1216,-591,712,-47,66,-436
1033,-648,712,-13,160,-436
617,-578,765,175,224,-436
300,-16,665,309,174,-436
280,328,552,269,108,-436
274,382,508,262,97,-436
193,509,389,314,111,-375
121,818,226,289,108,-296
158,844,258,189,59,-223
363,920,223,103,42,-173
316,865,432,33,74,-148
269,756,527,34,60,-134
212,845,467,68,54,-122
105,882,386,28,62,-94
69,922,366,-16,49,-42
27,756,429,-88,61,15
152,856,353,-34,73,45
112,1093,573,-252,157,-8
-34,309,1083,-199,143,24
116,851,965,-67,133,70
151,506,984,-85,86,84
201,692,795,-2,31,92
268,638,678,-2,3,77
242,653,637,-7,-5,25
216,670,593,6,-1,-25
124,783,594,-16,21,-64
9,831,682,-25,19,-60
-2,860,707,-15,-6,-23
24,886,704,-14,-19,1
40,853,773,-13,-53,24
143,852,768,25,-84,45
182,953,828,13,-113,48
220,810,898,2,-162,57
327,667,896,23,-195,41
393,724,718,11,-170,-8
367,631,689,-47,-128,-72
282,689,689,-57,-94,-77
171,613,725,-44,-89,-25
199,662,617,-2,-93,21
213,770,500,-5,-100,72
274,760,398,-94,-81,89
209,558,404,-99,-48,120
240,647,308,-89,-46,158
274,617,303,-106,-12,174
189,623,297,-156,42,199
126,466,428,-186,33,293
241,485,432,-194,23,381
440,392,552,-320,-35,436
843,-87,676,-381,-8,436
798,-201,785,-287,64,436
755,-150,909,-315,-39,436
1216,-529,710,-411,-15,436
