accX,accY,accZ,gyroX,gyroY,gyroZ
-586,-1676,110,436,-246,180
-719,-1483,413,436,-264,227
-705,-1272,495,436,-341,246
-459,-961,529,428,-433,238
58,-713,322,303,-374,188
88,-587,503,259,-196,150
-36,-590,780,238,-160,123
11,-332,741,241,-161,89
108,-350,643,158,-102,51
-26,-248,690,80,-97,33
-44,-412,599,-136,-128,7
25,-1014,739,-98,-37,-25
-190,-654,841,21,92,-37
-253,-440,737,-18,67,-36
-75,-393,667,-81,56,-25
-107,-409,731,-128,73,-24
-67,-472,695,-177,56,-43
-23,-505,692,-208,59,-67
31,-559,631,-234,81,-93
64,-440,506,-307,149,-119
-95,-757,470,-436,187,-156
-63,-1130,286,-436,238,-177
-57,-1310,-136,-436,345,-176
-291,-1871,-451,-436,365,-150
-228,-1961,-214,-436,342,-34
-198,-1961,-192,-409,369,59
-169,-1885,-61,-100,377,84
-1004,-1445,946,356,398,267
14,-879,25,270,232,202
630,-1862,172,-77,36,-195
1219,-1961,-58,373,40,-344
922,-1961,66,436,224,-371
604,-1961,184,436,152,-436
633,-1127,465,436,43,-436
903,-1168,853,436,37,-436
696,-1412,620,436,143,-436
313,-924,326,436,228,-436
108,-389,152,436,284,-352
-76,37,89,436,221,-251
96,482,-144,436,203,-165
142,734,-261,436,242,-97
25,984,-159,296,277,-15
14,641,287,-80,205,6
62,-62,471,-75,204,-30
-122,239,768,-81,261,10
-131,180,931,-172,153,47
63,-32,738,-212,198,100
120,818,1545,-190,248,31
-217,293,1961,-164,3,69
303,99,1038,258,-103,0
109,1080,312,203,49,-69
-260,957,885,-91,54,-57
-237,290,1409,-86,-95,41
330,145,1074,38,-125,70
445,607,848,73,-89,16
340,747,861,-203,1,-42
0,-23,885,-400,0,-105
-93,-23,677,-436,-63,-175
-5,-631,609,-436,-107,-187
120,-423,583,-47,-142,-213
211,546,338,-61,-19,-240
-4,458,274,-274,37,-211
-392,742,594,-429,133,-158
-626,494,742,-436,-3,-43
-555,260,726,-436,-204,114
-153,-1171,375,-436,-342,252
346,-1961,569,-436,-369,239
493,-1760,669,-372,-145,232
-72,-1548,650,-251,15,238
-354,-1543,489,-289,-45,199
-231,-1456,206,-409,-125,97
-111,-1558,0,-436,-187,10
71,-1574,-174,-436,-175,-5
189,-1513,-185,-396,-124,20
267,-1404,-132,-255,-68,64
278,-1315,-102,-106,-17,79
267,-1190,-98,5,16,41
149,-1061,-85,47,2,-22
88,-991,-125,32,-44,-84
