accX,accY,accZ,gyroX,gyroY,gyroZ
-20,-1961,151,436,32,41
-35,-860,425,436,-37,-9
-33,-470,481,436,7,-6
192,-853,211,436,41,-57
373,-409,-571,436,258,-94
225,1197,-288,436,350,-58
109,1013,745,-424,48,-233
133,-1961,1310,-436,218,-92
-463,-1961,1548,436,109,-36
-90,97,658,282,65,-27
-53,-189,746,-68,37,-60
-76,-483,1000,-84,26,-83
2,-531,938,38,48,-72
-22,-229,1028,-32,34,-80
11,-682,1359,-118,-38,-99
222,-854,1402,-60,-86,-122
270,-742,1448,-9,-114,-177
452,-995,1559,-62,-170,-240
462,-1359,1579,107,-213,-304
618,-761,1570,142,-207,-328
689,-1128,1570,177,-167,-334
476,-331,1578,241,-224,-313
994,-419,1406,17,-326,-305
924,-882,1093,164,-134,-375
452,-212,1033,358,-75,-400
463,-154,902,191,-118,-436
261,-661,482,269,32,-436
-97,-401,174,436,90,-436
-213,141,-83,436,159,-436
-781,208,-89,436,152,-286
-812,1224,193,436,-155,-74
437,1364,-390,-3,-231,-26
420,729,18,-87,-73,-24
286,749,82,45,-60,-39
213,1191,-112,88,-80,-19
144,1005,-293,-52,-69,-39
228,1183,-387,38,14,-73
-68,1320,-57,-91,36,-90
143,955,-16,-37,-14,-108
67,1252,-73,21,58,-58
82,1227,52,-123,7,-43
200,920,209,-167,-9,-45
218,983,238,-85,95,-48
-1,1053,455,-140,57,-30
168,871,376,-200,75,-26
91,719,523,-211,165,-2
-63,490,688,-250,130,-70
-62,453,572,-260,232,-60
-285,225,1018,-436,222,-67
-298,3,1272,-405,219,1
-196,392,1961,21,8,169
325,619,1204,-106,-166,-5
273,-2,602,90,179,-147
-697,1004,860,351,228,-63
-533,1176,878,-98,-74,-56
-72,429,814,-48,-46,-8
-222,918,1051,97,-12,43
-138,683,1330,-50,-169,31
53,375,1143,30,-216,4
201,583,896,55,-80,53
-232,265,1388,67,-54,13
-23,591,899,168,-203,-6
260,530,713,88,-58,-24
-163,608,791,137,13,-44
-168,801,568,114,-70,-19
-17,725,499,47,-48,-35
-149,869,422,167,4,-13
-305,1076,340,75,-106,39
-147,1309,342,-20,-265,104
32,1134,355,-109,-270,109
99,769,207,30,-238,96
-43,1031,-22,167,-202,93
-196,911,-273,142,-114,-115
-521,1656,121,116,131,-78
-548,1200,563,10,-61,243
594,501,-55,-21,-192,205
690,654,-338,84,146,182
-241,1140,-67,-40,223,337
-118,740,-16,-436,-13,395
