accX,accY,accZ,gyroX,gyroY,gyroZ
363,-1376,-834,-386,-104,-195
240,-1350,-771,-436,-64,-177
179,-1603,-643,-436,-80,-180
100,-1348,-533,-422,0,-142
-62,-1332,-151,-360,-30,-125
281,-1033,-61,-290,-11,-99
-38,-952,211,-235,74,-77
-10,-854,277,-87,-31,-59
249,-286,147,-84,-4,-38
129,-378,409,-157,-16,-40
442,-411,466,-84,-32,-30
-28,-32,600,162,51,-1
198,-186,432,52,-80,26
464,-749,320,207,0,46
-17,-380,233,350,-17,38
210,-591,-65,264,-82,59
-60,-1049,-112,293,-93,99
69,-1154,-577,384,-116,107
-13,-1286,-925,315,-144,123
167,-1355,-1250,276,-109,119
374,-1302,-1331,220,-55,98
377,-1203,-1214,131,-23,44
369,-1212,-1310,71,-19,18
402,-1091,-1387,-22,40,9
305,-1211,-1260,-123,58,-18
345,-1236,-1134,-235,66,-53
169,-1325,-970,-295,102,-75
168,-1267,-831,-298,137,-78
78,-1127,-512,-341,164,-90
63,-1098,-160,-321,153,-91
98,-884,134,-249,161,-104
-75,-640,315,-186,105,-98
-1,-375,401,-134,33,-28
125,-303,502,-100,-17,-9
187,-264,578,-55,-36,3
226,-247,558,36,-31,23
251,-317,531,102,-43,37
147,-417,468,206,-60,48
65,-509,244,265,-105,79
156,-775,-23,275,-119,100
-34,-1133,-190,304,-82,113
-155,-1489,-533,312,-141,140
323,-1527,-1067,333,-113,119
47,-1668,-1150,223,-48,84
326,-1304,-1400,167,-50,79
418,-1420,-1443,17,-11,37
488,-1321,-1332,-92,42,-18
338,-1243,-1126,-170,75,-59
279,-1280,-1016,-234,84,-86
154,-1317,-833,-292,125,-103
106,-1202,-640,-303,125,-107
150,-1173,-440,-328,146,-121
-14,-987,-83,-287,153,-123
-40,-794,68,-256,84,-92
163,-551,159,-224,90,-77
104,-468,400,-216,73,-81
-162,-585,1170,-40,77,28
387,461,490,110,-28,-5
79,-463,713,-113,16,-48
-132,-779,743,321,-66,92
125,-136,173,264,-178,108
91,-851,100,232,-118,119
-131,-1117,-52,283,-171,145
236,-1198,-419,331,-142,137
-173,-1278,-333,225,-112,113
47,-1529,-486,268,-146,121
235,-1304,-379,217,-81,63
-139,-1153,-122,105,-30,28
-150,-1597,-148,179,-31,75
362,-1308,-289,240,86,76
128,-1223,-151,221,264,21
-160,-1243,-15,176,291,0
-46,-1296,-92,252,330,55
70,-1064,-82,300,400,102
-37,-908,51,202,430,86
-257,-941,259,77,367,57
-383,-946,391,-13,231,62
-377,-967,451,-82,74,83
-270,-1009,412,-120,-59,98
