accX,accY,accZ,gyroX,gyroY,gyroZ
174,-877,-551,-353,-127,-324
357,-828,-663,-436,-282,-295
450,-894,-668,-436,-212,-239
111,-830,-373,-436,-243,-189
232,-731,-359,-421,-361,-144
546,-707,-439,-327,-295,-82
534,-633,-348,-190,-125,-25
409,-470,-15,-84,-17,2
664,-504,-502,29,41,8
254,-231,-67,105,17,26
408,-311,-207,75,29,27
530,-458,-356,189,131,55
366,-476,-379,276,207,92
613,-537,-632,356,230,116
501,-410,-646,347,342,157
419,-639,-452,286,193,164
591,-661,-509,274,147,150
505,-874,-365,242,18,154
846,-935,-530,290,24,152
662,-715,-356,240,129,149
634,-917,-291,138,94,151
649,-877,-183,148,97,130
551,-847,-100,35,51,91
623,-988,-139,23,-33,54
747,-869,-251,29,-55,37
814,-880,-353,0,-40,10
860,-780,-497,-65,-46,-38
822,-852,-557,-174,-45,-75
819,-851,-629,-237,-70,-135
752,-796,-645,-331,-92,-185
699,-895,-708,-393,-84,-183
572,-852,-648,-382,-105,-200
350,-665,-540,-436,-211,-214
483,-676,-613,-436,-278,-170
489,-681,-490,-436,-253,-142
516,-616,-400,-333,-155,-87
334,-516,-31,-179,-12,6
360,-503,-80,-139,-101,-13
303,-525,-58,68,96,9
231,-222,-104,144,20,16
388,-291,-294,115,-8,23
572,-497,-563,197,99,50
447,-435,-554,319,195,75
396,-344,-531,286,178,90
428,-569,-507,235,124,108
572,-698,-546,278,163,131
393,-787,-364,295,145,166
586,-931,-448,308,95,188
545,-902,-368,310,164,199
446,-975,-236,243,90,169
572,-1021,-236,228,93,157
442,-1034,-112,208,126,169
491,-1084,-150,225,106,179
513,-942,-160,197,52,164
701,-927,-273,77,-32,129
839,-1011,-340,0,-63,70
930,-942,-393,-70,-68,-25
913,-968,-417,-182,-14,-99
759,-1085,-375,-221,29,-148
641,-1012,-373,-261,5,-201
635,-1058,-472,-348,-28,-229
586,-1117,-501,-371,-30,-248
474,-1022,-469,-404,-82,-275
406,-980,-504,-434,-137,-265
344,-852,-459,-413,-201,-225
404,-698,-430,-405,-200,-167
357,-640,-301,-394,-184,-123
427,-615,-212,-305,-147,-67
278,-475,66,-164,-46,-1
611,-552,-176,-158,-282,-32
615,-644,-135,106,107,5
229,-420,-58,235,181,35
244,-453,-161,243,35,47
625,-599,-439,286,77,67
539,-680,-481,334,248,130
447,-882,-424,402,284,203
518,-853,-554,436,364,259
299,-919,-316,430,314,314
506,-902,-389,350,324,319
