accX,accY,accZ,gyroX,gyroY,gyroZ
166,-409,278,-44,8,0
203,-296,263,12,-6,28
263,-294,216,63,-10,58
250,-329,118,126,-34,72
338,-383,-145,176,-91,67
467,-425,-475,215,-91,69
464,-429,-680,242,-81,78
478,-455,-910,253,-79,74
564,-369,-1088,266,-96,72
626,-295,-1220,212,-83,51
666,-297,-1325,174,-64,36
659,-182,-1365,132,-40,26
651,-161,-1405,32,-30,6
674,-233,-1404,-42,7,-7
607,-212,-1266,-105,38,-15
586,-294,-1140,-178,47,-31
564,-399,-1089,-197,60,-42
536,-392,-1056,-214,74,-50
467,-414,-946,-258,78,-57
487,-485,-826,-278,75,-57
468,-483,-585,-265,97,-56
389,-463,-333,-233,112,-53
296,-417,-109,-178,100,-45
240,-355,55,-126,74,-35
217,-289,171,-74,54,-12
163,-272,254,-17,44,19
171,-284,218,49,3,50
245,-289,85,115,-22,80
354,-343,-148,171,-25,104
370,-390,-320,222,-36,126
448,-398,-574,245,-94,130
643,-421,-813,225,-107,111
646,-454,-990,199,-127,88
786,-469,-1208,186,-104,66
774,-397,-1371,167,-87,50
819,-331,-1550,105,-76,22
879,-213,-1533,20,-16,3
737,-210,-1318,-84,24,-18
684,-271,-1189,-150,36,-40
633,-344,-1175,-194,36,-65
575,-364,-1143,-232,39,-77
534,-402,-1037,-277,50,-81
463,-459,-868,-293,60,-79
427,-455,-704,-286,63,-72
416,-405,-439,-270,95,-54
302,-371,-124,-246,113,-36
190,-336,113,-187,89,-14
-271,-553,781,-163,17,32
435,-387,143,18,10,-16
208,-297,11,135,57,53
269,-147,-208,169,-90,46
526,-144,-461,145,-105,39
480,-247,-578,157,-68,42
599,-187,-769,175,-93,35
587,-170,-795,146,-44,32
581,-255,-795,116,-42,27
596,-319,-737,116,-21,25
629,-338,-668,116,18,29
668,-437,-611,122,78,44
633,-502,-607,170,133,65
674,-498,-582,204,183,82
733,-565,-535,214,255,100
714,-640,-460,255,339,128
518,-636,-364,287,387,169
421,-680,-204,265,288,191
454,-727,-64,190,194,165
450,-817,38,127,136,136
423,-898,80,111,95,143
479,-953,80,121,63,167
465,-876,120,113,58,174
406,-867,185,48,44,167
406,-1006,203,8,15,165
405,-1014,214,13,-7,161
375,-983,240,-16,-28,148
353,-1038,254,-42,-52,138
387,-1088,240,-44,-68,123
388,-1069,234,-30,-59,107
344,-1022,240,-28,-42,94
285,-1009,252,-32,-30,83
