accX,accY,accZ,gyroX,gyroY,gyroZ
-169,-1373,-1322,51,-436,-436
321,-292,-1858,-363,-436,-436
382,-829,-1799,-436,-109,-349
214,-1905,-1281,-436,69,-260
154,-1623,-766,-436,208,-204
-19,-1057,-420,-436,299,-111
-394,-1201,317,-436,436,166
-808,-1738,1739,-238,364,190
-642,-932,1595,296,-54,96
-75,-728,574,367,-267,25
105,-829,76,436,-265,2
-57,-793,-154,436,-298,-9
-119,-971,-673,436,-346,6
16,-952,-1232,436,-364,58
326,-1151,-1715,436,-325,122
569,-1134,-1961,436,-269,91
859,-767,-1961,414,-141,35
704,-374,-1961,183,-32,43
663,-426,-1961,-169,-76,34
823,-730,-1961,-364,-38,11
665,-1002,-1961,-436,57,-26
381,-1001,-1786,-436,120,-52
207,-929,-1435,-436,112,-55
256,-857,-1016,-436,136,-23
297,-1087,-428,-436,205,-25
190,-947,115,-436,253,-44
685,-515,776,-291,436,88
-1199,-939,1587,229,436,62
-1001,504,1049,262,-332,-19
499,-300,87,-8,-380,12
449,-592,-31,397,-105,81
67,-163,-171,425,-121,59
361,-342,-508,360,-149,84
205,-655,-669,260,-99,109
361,-1194,-1073,374,-149,112
574,-903,-1574,401,-92,102
821,-682,-1961,418,6,78
557,-174,-1956,238,60,54
653,-144,-1961,-25,-39,68
1028,-458,-1961,-236,-62,30
967,-558,-1961,-337,76,-29
552,-715,-1771,-419,96,-80
457,-559,-1511,-436,85,-85
378,-725,-1121,-436,127,-60
276,-869,-550,-436,164,-51
237,-695,-108,-427,184,-64
104,-489,222,-325,187,-57
424,-200,444,-250,197,7
-370,-694,1031,156,326,47
-324,377,787,211,-123,15
500,-212,347,43,-147,58
326,-609,293,358,2,180
117,-382,61,436,-34,266
83,-519,-207,422,-150,293
344,-993,-557,339,-236,223
414,-1182,-816,353,-163,132
303,-1377,-1053,436,-99,105
274,-778,-882,436,56,188
-122,-1195,-680,244,37,277
206,-1263,-651,262,-81,327
443,-1272,-656,159,-54,269
426,-1288,-614,117,24,210
104,-1265,-430,78,19,135
129,-1227,-500,136,-33,115
34,-965,-455,182,-34,118
21,-783,-451,89,-62,102
134,-855,-447,22,-42,108
70,-846,-405,0,22,117
-140,-812,-239,-88,-62,69
65,-856,-361,-168,-162,16
263,-870,-463,-201,-113,5
187,-909,-388,-214,1,2
-3,-966,-262,-195,59,32
-52,-1016,-243,-134,68,79
-22,-972,-248,-97,78,92
-8,-971,-277,-83,100,82
-104,-975,-205,-53,130,88
-167,-910,-178,-14,110,78
-153,-882,-219,29,92,67
