accX,accY,accZ,gyroX,gyroY,gyroZ
203,-938,-764,-331,-33,-296
139,-837,-753,-417,-117,-298
123,-842,-711,-436,-164,-248
62,-996,-604,-436,-183,-196
110,-747,-560,-436,-273,-188
383,-703,-670,-436,-237,-84
406,-894,-472,-385,-108,-27
397,-684,-328,-266,-84,-56
344,-528,-251,-228,-43,-38
270,-518,-122,-177,-70,-37
357,-443,-77,-91,-85,-36
409,-447,-131,31,-19,-20
312,-404,-157,158,32,-27
422,-329,-238,244,102,26
304,-557,-284,341,248,123
525,-799,-612,436,259,208
548,-849,-867,436,421,218
403,-617,-634,436,356,231
456,-950,-632,392,333,302
276,-1133,-334,381,150,253
573,-881,-406,282,33,217
465,-1124,-285,100,26,267
806,-1338,-378,150,-41,243
868,-1087,-336,153,44,194
906,-1240,-387,73,5,86
892,-1086,-492,53,-46,-54
903,-764,-598,-187,-148,-168
843,-1023,-767,-436,-127,-234
824,-1221,-908,-436,-134,-290
494,-1278,-860,-436,-45,-304
186,-928,-743,-436,-147,-305
210,-780,-778,-436,-209,-232
356,-796,-678,-436,-235,-163
371,-694,-440,-436,-185,-144
306,-709,-250,-423,-104,-89
279,-636,-57,-248,-63,-34
324,-781,103,-193,-120,-77
349,-458,-281,102,136,-38
116,17,-75,16,6,-33
420,-398,-102,-19,2,18
339,-570,-137,208,115,44
442,-509,-351,370,146,69
638,-516,-674,436,321,156
523,-590,-595,436,403,241
693,-845,-775,436,436,349
131,-787,-246,436,436,370
326,-892,-214,392,165,339
264,-891,-65,249,95,347
336,-1236,-80,75,-71,361
650,-1529,-310,86,-134,339
901,-1425,-462,94,-217,242
1400,-1339,-749,36,-179,106
1331,-1174,-737,-44,-35,-52
1010,-1080,-641,-138,78,-170
689,-1112,-565,-237,71,-231
591,-1151,-631,-302,38,-260
466,-1061,-612,-436,-54,-307
402,-1118,-712,-436,-157,-344
241,-1024,-689,-436,-279,-353
314,-851,-707,-436,-358,-289
380,-866,-606,-436,-300,-185
462,-937,-408,-436,-229,-121
494,-596,-225,-281,-47,-40
601,-520,382,-223,150,81
257,-733,-96,41,-16,-28
262,-305,-50,264,7,1
376,-146,-150,173,33,1
442,-584,-249,203,83,22
642,-766,-550,424,270,106
667,-764,-770,436,436,208
508,-716,-741,436,436,267
244,-560,-431,436,436,294
116,-775,-150,341,254,322
266,-925,-155,193,40,301
355,-1160,-159,55,-117,289
663,-1351,-292,66,-120,256
599,-1178,-193,115,29,238
450,-1117,-101,82,70,212
347,-1165,-50,86,105,207
228,-1025,62,91,111,192
