accX,accY,accZ,gyroX,gyroY,gyroZ
-235,-606,1802,436,216,11
-375,15,1536,436,231,18
-310,-351,1509,436,215,65
-106,17,1290,436,213,64
-339,56,1368,407,239,68
-259,258,1127,417,175,120
-71,129,927,338,214,89
-221,467,739,340,234,96
-258,374,598,269,236,84
-457,628,475,229,202,125
-413,627,520,113,148,191
-283,369,440,81,123,216
-343,471,382,78,124,210
-289,559,248,63,155,226
-364,613,289,26,163,261
-231,478,304,-26,74,296
16,511,192,-24,136,303
-217,537,320,-59,103,329
-2,284,381,-102,-4,393
266,231,168,-94,-25,407
192,174,214,-145,-21,394
304,33,239,-122,-139,422
778,-39,32,-106,-64,373
478,-6,234,-81,2,353
664,-121,154,-102,-81,353
913,-326,178,-60,29,323
626,-149,282,-40,62,299
722,-223,219,-105,13,303
728,-597,418,-56,7,317
871,-344,175,-92,-21,305
674,-681,214,-132,28,314
917,-804,207,-47,-19,308
610,-657,289,-150,42,290
519,-1113,208,-157,-100,288
847,-814,123,-86,63,311
130,-1195,425,-157,44,307
655,-1129,142,-80,-81,318
607,-1313,57,-180,132,342
-14,-1765,537,-44,13,300
581,-1135,233,-9,26,337
236,-1790,338,-167,108,362
235,-1807,464,15,-155,296
717,-1541,155,-10,-104,312
451,-1888,246,20,-35,279
689,-1400,183,121,-14,240
672,-1470,90,36,128,214
427,-1451,270,66,120,147
587,-1162,230,12,73,73
615,-1245,428,-127,56,69
704,-1693,368,-121,27,9
424,-1562,199,39,73,-119
110,-1237,68,80,99,-210
128,-1173,-92,89,188,-213
235,-1117,-284,132,415,-180
-16,-1084,-187,138,436,-158
-269,-1070,-65,149,436,-182
-318,-1042,-17,201,436,-160
-301,-849,62,224,436,-124
-358,-773,221,154,436,-124
-351,-753,340,83,313,-124
-316,-670,411,13,186,-105
-235,-675,424,-67,87,-78
-106,-759,392,-118,42,-57
-43,-836,366,-132,56,-41
9,-920,347,-122,107,-21
-4,-923,357,-101,179,-1
-38,-962,383,-104,234,9
-76,-1020,415,-86,283,9
-148,-1013,457,-54,307,0
-290,-975,520,-31,293,4
-328,-936,567,-13,240,25
-284,-983,517,-5,191,41
-306,-1040,541,6,156,47
-334,-1037,769,20,92,38
-633,-759,1200,-34,-114,31
-112,-866,562,-123,-226,15
-4,-980,435,-138,-191,18
31,-1089,425,-80,-117,-4
-33,-988,386,-66,-63,0
