accX,accY,accZ,gyroX,gyroY,gyroZ
-752,-674,863,-195,274,-64
-442,-640,940,-154,147,-32
-387,-736,1106,-179,92,-24
-265,-915,1237,-147,-8,-26
-41,-894,1074,-22,-8,-22
-47,-642,1031,17,45,-11
-109,-613,1063,-17,38,-4
-33,-637,965,-6,41,1
-46,-573,974,-7,54,-13
-127,-577,1050,-52,32,-21
-65,-699,1031,-43,9,-13
-80,-673,1029,-7,32,-11
-140,-625,1056,-4,20,0
-59,-653,997,-11,0,-3
-89,-636,1008,-17,25,-10
-109,-676,1071,-45,25,-10
-68,-822,1113,-39,80,-27
-185,-780,1290,-29,146,-25
-403,-953,1510,-47,227,4
-673,-1114,1536,70,274,52
-850,-883,1479,148,299,132
-957,-921,1338,173,289,205
-1043,-754,1157,246,249,260
-950,-639,1008,203,244,321
-854,-656,997,184,240,334
-828,-542,935,114,228,337
-608,-403,893,78,207,342
-643,-527,836,63,229,343
-737,-254,811,119,188,317
-787,-122,751,85,163,352
-708,-18,695,78,60,363
-336,86,472,45,97,350
-503,113,567,54,165,333
-452,264,509,33,101,309
-460,331,503,52,88,315
-363,513,419,43,66,338
-438,561,458,13,47,337
-381,488,473,-34,-40,341
-349,404,414,-18,-138,330
-198,233,206,0,-244,343
24,249,-69,167,-255,323
170,686,-374,63,-213,279
233,455,-367,-90,-65,270
388,343,-374,-59,171,250
126,450,-7,-69,320,322
50,463,453,-177,189,348
234,79,607,-275,-22,333
575,-11,476,-112,-168,324
954,-44,238,-53,-97,329
933,87,326,48,-12,311
809,189,326,-84,-65,319
967,-199,260,-98,-186,296
1171,-218,151,2,-130,300
1062,-190,131,-12,-131,275
1198,-336,59,-4,-106,271
1135,-202,39,12,-47,268
1182,-358,34,-66,4,298
990,-603,133,-56,1,266
1154,-496,121,-1,-15,283
1088,-572,53,-62,16,260
1241,-771,81,-64,101,277
888,-742,236,-24,95,231
1146,-771,69,-52,78,234
1020,-822,171,-37,168,217
1199,-707,-2,-12,292,254
998,-877,-41,-37,436,283
236,-856,310,-35,436,207
-276,-789,766,-150,436,178
54,-1029,763,-237,178,178
266,-1276,766,-260,66,116
337,-1335,567,-152,-6,55
445,-1076,343,-68,44,17
232,-899,361,-154,84,33
191,-1210,424,-189,48,26
145,-1108,473,-155,5,13
206,-1175,384,-132,-34,4
312,-1020,205,-94,15,13
212,-1082,144,-115,60,17
161,-1002,123,-93,64,19
