accX,accY,accZ,gyroX,gyroY,gyroZ
-960,-456,1189,207,351,181
-1127,-144,1059,266,369,214
-1045,-62,917,150,317,221
-933,-241,809,158,342,221
-919,66,646,181,375,202
-1011,182,536,95,387,184
-974,99,468,26,362,185
-941,212,412,-10,360,194
-961,278,410,-78,329,208
-912,171,412,-105,294,252
-730,283,395,-93,266,304
-654,325,410,-128,235,333
-476,252,411,-128,181,358
-296,279,376,-98,138,377
-165,340,315,-83,106,387
-73,313,223,-79,46,410
135,289,132,-70,6,418
271,305,75,-81,-15,399
359,217,44,-93,-23,373
482,212,11,-51,-15,349
514,275,48,-79,7,310
465,120,94,-94,-8,287
597,198,59,-69,-11,297
452,77,77,-141,-35,290
516,-135,-33,-135,-78,288
712,-83,-87,-112,-13,296
676,-177,114,-167,58,293
590,-474,225,-154,36,282
864,-504,198,-54,30,312
640,-477,223,-79,-5,315
816,-732,97,-120,-64,308
984,-827,126,-47,-18,346
635,-913,162,-52,-61,311
996,-974,-91,-62,-70,307
902,-1011,6,-75,-13,337
702,-1198,-47,-143,-95,293
964,-1321,-273,-130,-116,287
987,-1334,-263,-103,-27,296
828,-1341,-202,-95,1,281
829,-1250,-267,-90,33,254
773,-1266,-241,-75,72,271
710,-1151,-149,-66,45,284
639,-1226,-159,-96,24,215
823,-1264,-215,-23,51,236
740,-1139,-124,0,82,226
648,-1201,-163,-18,98,173
724,-1240,-216,26,152,183
636,-1136,-111,64,252,188
532,-1066,0,62,278,166
461,-1010,114,32,278,132
254,-1009,211,5,251,78
287,-974,211,-7,200,51
231,-1020,269,-26,154,41
140,-1008,216,-35,99,10
143,-1029,124,-25,70,2
224,-1003,36,10,88,16
244,-972,-5,28,155,31
162,-1004,0,39,211,41
30,-1008,34,57,217,44
7,-980,44,63,177,41
-70,-950,76,57,118,37
-65,-920,102,21,30,20
12,-959,69,-9,-34,0
112,-971,30,-9,-50,-5
137,-956,16,-3,-23,-2
91,-930,37,-5,0,0
98,-923,51,-18,3,1
135,-957,44,-22,25,5
142,-958,59,-14,58,13
66,-941,97,-16,64,13
73,-944,105,-33,43,7
96,-981,101,-38,38,4
87,-995,105,-34,34,3
97,-995,99,-29,31,0
90,-972,104,-26,29,-2
78,-966,104,-32,24,-4
85,-969,107,-36,19,-5
89,-977,117,-26,34,2
73,-982,109,-9,22,3
