accX,accY,accZ,gyroX,gyroY,gyroZ
-175,-1624,1906,273,256,-23
565,-826,1630,315,-78,-236
982,-986,1955,99,158,-132
640,-1554,1961,265,189,-156
536,-1073,1892,401,160,-192
408,-856,1602,436,206,-180
103,-610,1542,436,204,-142
-33,-672,1379,436,151,-75
-11,-412,1109,436,112,-16
7,-369,870,436,153,70
-193,-278,824,436,178,137
-292,-288,618,436,96,176
-22,-134,192,436,39,186
-16,423,201,436,106,205
-188,231,248,325,58,231
-66,182,-7,337,-42,269
339,540,-346,327,-15,270
297,585,-115,134,129,238
181,299,74,130,176,252
97,503,192,146,139,275
217,264,165,87,43,294
484,307,0,148,64,318
453,278,53,74,117,340
328,83,211,8,95,359
431,-91,168,0,105,427
302,-256,197,59,165,436
182,-453,257,-85,37,436
520,-995,86,-144,-40,436
558,-1153,103,-82,-12,436
891,-1311,73,-61,-49,436
1148,-1377,-30,-78,-7,421
1094,-1454,14,-3,83,301
650,-1002,156,26,169,249
358,-1151,168,-28,106,251
540,-968,62,-84,86,263
367,-1311,29,-180,107,233
312,-1041,130,-163,145,280
337,-1518,5,-251,166,366
392,-1658,16,-113,206,268
186,-1307,92,-144,202,195
110,-1360,-54,-117,186,175
113,-1210,-21,-182,248,253
177,-1492,-98,-158,326,304
116,-1310,-67,-91,393,242
2,-1189,-28,-175,430,213
-125,-1326,2,-188,436,247
-366,-1382,-34,-186,436,236
-545,-1317,96,-133,427,270
-387,-1281,144,-109,302,242
-251,-1142,-20,87,203,165
-149,-721,-335,181,205,130
-250,-598,-327,109,204,88
-306,-706,-246,45,116,39
-250,-710,-289,17,21,3
-143,-739,-354,-13,-13,-13
-83,-783,-389,-36,2,-21
-116,-825,-344,-13,50,1
-191,-804,-258,0,69,31
-194,-818,-211,0,41,42
-163,-833,-197,-20,-17,12
-72,-845,-268,-31,-33,-8
-73,-841,-260,-28,-20,-10
-79,-853,-257,-19,-17,-6
-80,-856,-272,-8,-9,3
-72,-839,-280,5,-3,10
-75,-836,-290,5,0,11
-67,-820,-288,6,-2,7
-63,-814,-288,-6,0,1
-71,-841,-271,-12,6,2
-76,-834,-273,5,11,9
-83,-819,-258,2,14,11
-95,-820,-243,0,11,8
-116,-826,-233,-7,6,3
-100,-862,-269,0,-5,2
-67,-839,-284,1,10,9
-90,-850,-260,5,26,16
-109,-832,-238,5,25,17
-109,-831,-233,-2,17,11
-117,-836,-231,-7,7,4
