accX,accY,accZ,gyroX,gyroY,gyroZ
59,-1482,-925,-85,436,-436
-304,-1074,-654,-105,436,-436
-816,-761,-213,-205,436,-436
-1115,-583,296,-255,436,-291
-1054,-619,685,-274,357,-115
-584,-701,824,-233,76,-58
-131,-880,883,-238,70,-23
-196,-1096,1074,-114,92,-11
-115,-812,1030,-25,18,-41
40,-767,1037,-49,92,-12
-297,-829,1210,-2,112,-41
-382,-574,1155,-12,63,-18
-288,-742,1133,-65,26,2
-280,-881,1357,-45,7,0
-223,-994,1556,-12,95,13
-356,-1090,1632,107,155,48
-242,-938,1520,137,227,45
-478,-1086,1470,206,341,88
-728,-983,1241,321,267,136
-631,-813,1078,372,62,167
-248,-411,840,362,96,198
-413,-164,955,220,287,191
-668,-289,1135,143,326,144
-755,-146,1077,178,339,188
-856,69,1137,131,254,239
-649,-51,1067,64,184,279
-489,-125,802,112,175,310
-422,64,579,113,208,322
-571,98,629,19,191,330
-527,41,665,15,125,333
-478,91,638,42,89,329
-316,309,535,57,120,313
-638,309,724,-67,119,316
-925,-133,606,-102,-68,330
-447,-26,161,35,-173,385
-170,117,65,69,-35,436
-130,233,25,7,17,436
-10,81,141,-92,0,436
77,-221,183,-63,-85,436
480,-69,-81,41,-82,436
546,-50,-99,6,94,436
452,-143,-11,-21,89,436
681,-324,-31,-157,-8,436
962,-710,21,-162,-112,436
1267,-814,-125,-100,-150,436
1342,-838,-103,-18,-125,414
1357,-545,-122,-9,-87,391
1311,-747,-232,-79,-20,370
1218,-703,-90,-72,56,414
1073,-911,-102,-199,45,381
1190,-1118,40,-185,50,378
881,-1220,43,-206,26,303
1191,-1207,-51,-108,0,304
859,-992,64,-209,91,247
617,-1544,-43,-190,44,204
824,-1008,-22,-23,122,237
393,-1032,188,-246,137,186
565,-1471,73,-130,77,197
433,-898,237,-147,133,198
166,-1430,254,-234,0,131
533,-1108,42,-25,-11,162
332,-1034,142,-167,17,139
367,-1519,45,-82,11,135
302,-1036,66,4,31,131
376,-1302,120,-75,17,115
478,-1239,62,38,92,103
461,-1068,73,7,177,79
286,-1147,239,-9,293,71
-346,-1033,421,50,161,39
-86,-866,-5,-31,-2,36
34,-998,-130,-41,-11,36
77,-891,-134,-19,-23,32
157,-900,-182,-16,-29,19
143,-836,-248,-4,-13,0
90,-799,-277,-32,11,-3
54,-844,-280,-42,37,12
65,-862,-241,-47,77,37
43,-977,-147,-28,115,51
100,-1079,33,4,138,59
