accX,accY,accZ,gyroX,gyroY,gyroZ
666,-331,-144,-136,180,-173
676,-141,-108,-83,232,-127
529,-38,140,-57,237,-84
610,-31,265,-9,222,-50
907,-83,280,11,199,-36
985,-176,240,46,231,-46
894,-155,169,85,249,-63
652,-2,79,65,226,-90
299,85,172,17,184,-92
46,147,314,0,127,-84
-146,223,388,-39,110,-37
-197,106,615,-68,58,14
67,-37,648,-44,3,51
178,38,753,-52,-36,67
596,-236,814,-40,-48,81
841,-131,691,16,-40,66
916,-90,622,7,-19,57
883,-66,591,-8,-96,34
1047,-7,373,30,-43,29
834,96,424,-12,-62,33
1048,-32,346,-26,-78,26
1001,45,365,-46,-98,13
1027,0,345,-58,-93,23
1117,-145,408,-38,-68,23
722,33,504,-43,-128,-9
1053,-150,208,-93,-202,-20
956,-66,166,3,-97,15
584,132,218,-25,-159,22
1027,-132,-10,-80,-228,24
808,-109,77,44,-77,82
903,21,-157,-81,-202,95
1035,-504,178,-106,-166,132
752,-485,104,63,-220,59
1132,-170,-426,2,-291,48
1200,-685,-144,-23,-173,130
1461,-672,-405,81,-228,39
1697,-591,-609,6,-207,9
1695,-929,-352,49,-64,14
1366,-663,-269,100,-43,-45
1154,-512,-286,80,-46,-85
900,-440,-230,129,52,-7
474,-359,16,198,92,64
339,-505,107,234,17,65
380,-524,-85,339,0,89
138,-424,-14,355,0,106
18,-535,38,307,-111,133
156,-685,-180,286,-174,170
340,-911,-344,287,-109,250
196,-972,-264,308,-29,324
5,-944,-137,203,-75,381
24,-1279,-207,94,-114,433
-36,-1420,-169,80,-156,436
48,-1388,-147,-6,-152,425
167,-1486,-132,-88,-95,385
230,-1536,-76,-78,-21,319
247,-1431,-7,-23,30,214
163,-1298,60,8,56,102
28,-1170,124,20,42,16
-49,-1047,150,16,6,-28
-82,-941,166,-15,-37,-41
-60,-918,164,-61,-71,-35
-20,-954,168,-82,-85,-28
36,-968,162,-86,-82,-28
34,-1023,180,-97,-70,-41
4,-1076,176,-81,-73,-63
29,-1094,139,-66,-60,-78
28,-1112,116,-47,-39,-94
23,-1109,101,-27,0,-107
-7,-1108,104,-10,44,-113
-76,-1081,123,20,69,-115
-128,-999,136,33,83,-118
-158,-967,150,17,73,-117
-171,-956,144,13,56,-107
-156,-927,145,16,49,-86
-142,-888,147,15,48,-57
-92,-852,69,-1,60,-33
-110,-823,74,-32,78,-12
-127,-853,114,-47,73,16
-100,-885,136,-38,63,47
