accX,accY,accZ,gyroX,gyroY,gyroZ
858,50,-86,-188,-86,-320
884,-292,105,-175,17,-169
859,-281,-28,169,295,-112
90,282,37,227,318,-164
299,644,-39,20,114,-108
503,115,33,32,268,27
561,104,484,7,223,36
698,103,307,83,169,-97
411,223,416,32,177,-90
466,251,368,-4,86,-88
402,453,474,-37,120,-55
411,315,673,-90,102,8
536,190,879,-98,55,19
738,150,826,-62,73,7
429,74,1156,-54,45,16
539,37,960,34,12,-22
300,313,770,90,32,-19
406,396,477,57,48,60
491,361,579,-30,-26,96
771,147,553,-26,5,108
598,217,757,-26,-54,48
884,158,502,-12,-68,47
757,205,571,12,-9,39
888,207,584,-38,-87,54
1069,-31,485,4,-39,55
737,169,601,56,-52,18
892,112,429,0,-105,44
845,88,344,43,-95,55
874,190,330,21,-66,92
858,26,321,3,-85,100
998,70,316,10,-85,136
908,-28,347,-15,-110,124
1079,-127,241,-15,-112,141
957,-179,272,18,-118,138
1158,-174,191,9,-123,144
1033,-325,207,20,-104,149
1209,-223,126,6,-121,167
1106,-465,277,-19,-55,194
1280,-551,300,14,-96,164
1204,-714,274,84,-48,113
1195,-441,187,131,-91,80
918,-422,311,78,-48,116
1085,-548,124,27,-218,92
1097,-678,105,78,10,139
815,-655,265,131,-94,121
955,-675,11,100,-48,118
696,-770,164,129,-71,130
1029,-686,-57,106,-146,113
794,-774,31,83,-35,147
632,-807,59,108,-84,150
740,-711,-2,59,-135,166
682,-941,33,31,-71,163
487,-1002,207,102,-177,127
679,-955,-82,140,-179,122
552,-880,-1,129,-194,118
674,-885,-88,74,-204,138
713,-911,-130,59,-132,137
547,-824,86,10,-94,131
335,-1003,368,-60,-210,109
638,-1238,11,18,-218,59
504,-954,-13,166,-117,71
537,-670,20,60,-95,109
297,-1092,-7,-23,17,96
107,-957,184,81,-88,90
309,-742,59,35,-40,160
130,-1014,72,-35,24,164
110,-1065,138,-21,-53,118
76,-937,139,-28,-64,145
50,-1028,97,-57,-33,140
-77,-1065,219,-43,-57,116
-31,-1078,138,-8,-67,112
-2,-1004,103,21,-19,84
-53,-957,177,-11,-15,59
-69,-1023,165,-35,-23,19
-136,-1043,195,-4,-7,5
-162,-994,198,18,-32,0
-146,-937,149,15,-36,-2
-151,-890,154,-13,-45,-1
-170,-938,210,-40,-66,5
