accX,accY,accZ,gyroX,gyroY,gyroZ
878,-213,-286,274,436,-135
635,21,-145,220,436,-158
373,-16,-26,167,396,-163
238,56,-4,163,285,-177
56,128,44,159,252,-162
-85,317,151,139,199,-116
-60,418,295,45,149,-73
-150,315,513,18,111,-31
150,300,581,-1,79,3
119,301,734,3,64,21
209,332,802,-25,18,33
362,285,831,-29,-6,43
503,320,867,-17,9,62
483,317,930,-22,14,79
610,245,918,-32,-15,73
702,279,866,-13,-18,74
752,250,826,-18,-8,81
800,229,783,-15,-3,73
753,275,804,-36,0,68
751,197,812,-53,-14,64
760,201,831,-50,-29,64
874,173,810,-66,-19,62
844,114,842,-71,-7,56
806,98,850,-73,-20,46
806,44,839,-78,-23,39
726,53,856,-71,-34,35
789,3,816,-76,-43,35
730,-24,817,-61,-37,38
759,13,766,-64,-50,40
855,-65,721,-74,-28,53
652,-125,763,-38,-24,54
681,53,659,-68,-117,35
761,-103,598,-105,-106,46
805,-120,602,-57,-64,87
814,-101,656,-76,-66,96
821,-224,642,-104,-117,83
992,-261,547,-104,-151,76
1030,-375,472,-87,-116,72
862,-288,447,-36,-133,65
1023,-230,349,-78,-143,68
1092,-437,369,-99,-62,92
855,-500,443,-27,-45,98
921,-339,412,-55,-136,81
1040,-537,347,-114,-113,78
883,-643,309,-43,-89,101
941,-505,252,-38,-116,112
929,-647,245,-86,-95,112
851,-735,167,-45,-98,123
996,-699,185,-38,-61,148
811,-880,236,-10,21,171
768,-828,194,29,-21,170
859,-860,202,0,25,179
608,-996,244,39,36,183
642,-896,203,41,-33,166
677,-977,187,2,-34,154
633,-1081,196,33,-49,141
669,-1043,220,54,-42,130
551,-1078,251,79,-8,130
361,-1001,273,108,-37,128
319,-917,238,73,-118,106
329,-980,215,33,-170,91
294,-1015,180,43,-204,89
281,-949,126,36,-241,87
325,-925,60,-11,-269,77
382,-992,32,-52,-289,57
458,-1041,20,-57,-272,40
468,-1035,22,-36,-233,30
463,-1003,41,-24,-186,21
425,-983,61,-19,-142,17
352,-967,99,-23,-121,13
293,-971,114,-21,-126,10
300,-948,109,-18,-132,10
331,-971,96,-23,-119,13
300,-986,86,-9,-102,20
307,-951,84,-4,-98,20
290,-943,72,-14,-90,10
297,-948,38,-24,-91,0
312,-980,32,-30,-65,-11
210,-1020,66,-28,-51,-24
