accX,accY,accZ,gyroX,gyroY,gyroZ
332,-1495,-744,-195,89,-347
893,-1425,-1131,-237,129,-396
750,-1525,-1026,-156,276,-372
596,-1271,-822,-10,255,-417
784,-848,-1163,105,320,-330
839,-609,-1128,117,436,-157
698,-735,-670,214,436,-177
675,-305,-443,215,426,-240
574,-47,-317,238,436,-167
613,205,-51,101,418,-131
553,-243,309,80,370,-99
468,-229,408,183,308,-88
265,-56,280,293,243,-118
240,146,229,184,129,-131
237,42,234,169,50,-115
595,285,109,182,106,-63
161,0,595,52,37,-120
555,348,210,91,-13,-174
-47,434,686,-60,73,-116
222,516,626,-80,-26,-95
283,538,519,-52,66,-29
69,574,798,-159,85,15
266,318,949,-169,40,45
255,383,988,-124,49,65
265,256,1004,-126,0,82
424,165,725,-58,-27,85
372,297,559,-111,-14,56
324,39,468,-168,-88,-2
517,313,243,-239,-140,-47
260,-78,513,-436,-115,-23
398,-343,598,-291,-263,8
636,-153,332,-233,-217,44
331,-214,578,-164,-272,28
897,-160,209,-211,-342,112
808,-736,356,-85,-247,77
852,81,91,-4,-344,106
1227,-562,-113,-140,-153,256
695,-848,171,84,-190,189
877,-118,-404,47,-362,151
895,-503,-475,-204,-239,317
657,-1104,-316,-175,-346,240
1013,-1049,-578,-35,-328,182
595,-972,-485,-16,-301,152
810,-1250,-786,-34,-384,132
704,-1152,-678,135,-138,276
329,-1168,-419,131,-136,264
256,-1145,-560,100,-185,224
186,-1510,-880,116,-109,303
111,-1437,-801,171,-198,262
446,-1121,-750,59,-228,227
578,-1045,-668,-4,-76,205
447,-996,-485,-51,64,152
112,-1016,-224,-112,88,73
-44,-1008,-87,-125,-7,-8
-15,-986,-124,-95,-91,-60
-26,-948,-183,-39,-127,-84
-51,-857,-184,-29,-160,-96
3,-812,-221,-83,-196,-106
93,-941,-262,-118,-168,-107
103,-983,-238,-58,-108,-85
44,-916,-238,-8,-36,-53
-57,-917,-208,13,18,-22
-96,-865,-203,48,34,7
-82,-835,-243,53,41,30
-84,-856,-268,45,42,35
-88,-843,-260,40,35,20
-91,-814,-263,21,24,0
-123,-852,-235,2,9,-19
-110,-815,-249,6,-9,-27
-80,-805,-271,-12,-7,-26
-84,-828,-260,-11,21,-5
-94,-822,-251,-1,45,15
-119,-837,-230,-4,56,27
-123,-862,-212,-1,54,28
-126,-852,-190,-3,48,24
-148,-873,-178,-10,29,15
-112,-878,-195,-5,12,8
-84,-886,-215,-8,15,2
-63,-875,-218,-7,11,-19
