accX,accY,accZ,gyroX,gyroY,gyroZ
-384,533,-158,76,139,-145
473,144,-513,-111,200,-70
-262,270,185,40,275,3
92,257,199,-9,167,-18
184,183,383,-2,244,30
298,148,478,-35,103,-23
467,38,556,-59,139,-6
301,82,902,-107,92,5
280,19,1081,-74,77,4
91,113,1172,-28,10,13
243,65,1060,-4,-38,42
411,225,747,68,-23,70
509,246,623,41,-32,98
607,328,384,40,-65,59
751,332,370,-49,-50,89
971,79,449,-51,-29,97
792,222,509,-38,-85,12
1023,226,392,-103,-101,39
905,-33,494,-26,-7,36
817,235,493,-24,-46,52
791,-90,534,-9,-48,73
813,57,413,12,-116,60
841,-36,373,-7,-150,72
1093,-108,273,-1,-168,94
988,-130,312,43,-121,88
1116,-42,69,13,-167,88
1081,-264,84,34,-82,128
989,-120,152,27,-116,147
1100,-425,94,-15,-70,181
1173,-425,92,0,-114,183
1082,-738,271,18,-1,209
884,-615,279,95,-142,124
1233,-509,10,35,-107,159
890,-837,311,58,-98,145
1156,-803,-10,109,-215,48
957,-668,-115,203,-53,104
748,-485,26,168,-118,124
805,-667,-57,91,-113,156
861,-761,-67,96,-140,194
943,-821,-60,41,-76,202
607,-934,75,82,-64,208
699,-858,-188,103,-48,225
629,-819,-156,40,-22,256
558,-996,-110,0,2,262
438,-1066,-47,-6,-66,203
432,-1039,-2,-54,-200,135
455,-1075,-59,-62,-246,93
261,-1060,-27,-31,-285,52
204,-944,-87,-9,-408,14
351,-957,-198,1,-388,41
229,-1070,-205,61,-359,64
541,-998,-408,117,-205,102
95,-982,53,150,-93,191
0,-1414,332,289,-164,229
7,-1298,59,392,-183,187
-71,-846,-41,339,-244,134
401,-556,-195,74,-182,111
88,-813,285,-185,-35,50
-147,-1153,463,-216,-92,14
-94,-1178,438,-82,-129,2
48,-938,281,-42,-91,-1
-14,-932,279,-65,-17,-5
-151,-981,398,-73,-21,-12
-122,-1024,369,-43,-23,-9
-133,-963,344,-31,-24,-20
-143,-933,332,-54,-33,-26
-137,-1003,339,-45,-29,-16
-100,-957,298,-21,-30,-16
-87,-949,275,-29,-12,-14
-104,-950,291,-31,-17,-18
-68,-938,265,-39,-26,-22
-52,-985,251,-40,-17,-17
-81,-994,241,-35,-18,-23
-99,-973,199,-32,-21,-25
-92,-972,193,-43,-12,-11
-80,-987,210,-38,-5,-6
-92,-968,223,-41,-4,-7
-88,-961,223,-44,-4,-1
-87,-976,226,-45,-5,2
