accX,accY,accZ,gyroX,gyroY,gyroZ
-941,-722,67,-36,-16,-303
-979,-528,60,-70,-13,-371
-846,-592,73,-179,-19,-414
-716,-622,4,-207,22,-423
-692,-797,-40,-274,26,-436
-515,-804,-58,-120,15,-377
-388,-528,-115,-106,72,-323
-374,-562,-167,-126,101,-250
-331,-667,-165,-167,88,-272
-233,-695,-183,-147,75,-247
-159,-591,-206,-95,70,-176
-115,-725,-250,-23,43,-109
-22,-588,-261,21,0,-80
-64,-331,-74,-61,-8,-49
52,-649,-182,-133,-10,-14
56,-895,-173,-74,-11,5
75,-731,-339,3,-20,-2
139,-694,-371,-108,-70,-44
303,-824,-543,-113,-1,-29
146,-947,-379,-88,90,-17
32,-901,-332,33,23,5
151,-647,-455,12,-12,-13
301,-771,-550,-71,26,-42
193,-710,-424,-5,98,-14
117,-586,-376,-62,48,-44
244,-726,-467,-78,8,-38
223,-825,-355,-70,41,-25
156,-728,-362,68,10,9
224,-554,-406,23,-27,-4
359,-690,-544,-63,-9,-24
230,-684,-407,-57,14,-21
166,-780,-421,-46,1,-24
138,-554,-486,-39,-44,-44
277,-688,-499,-103,-84,-60
291,-710,-499,-7,-4,-11
192,-709,-426,12,-5,11
230,-648,-436,4,-33,0
276,-633,-511,-48,-24,-27
285,-609,-572,-38,0,-11
245,-540,-519,-15,34,28
190,-600,-517,-61,12,-18
197,-735,-452,-20,-35,-2
274,-612,-573,41,-31,11
299,-633,-589,-8,1,14
268,-729,-582,10,32,10
219,-610,-522,37,16,28
271,-641,-522,29,3,30
282,-640,-508,44,23,34
277,-685,-504,-2,40,22
230,-700,-445,28,51,32
199,-692,-409,10,41,27
214,-697,-409,20,24,37
201,-677,-366,-1,18,29
189,-656,-393,-14,9,17
209,-736,-409,-47,7,13
198,-776,-417,-4,9,32
204,-697,-467,1,10,35
233,-714,-438,-50,24,19
191,-758,-398,-12,43,18
177,-769,-440,-20,12,5
158,-782,-350,-20,-5,-5
233,-722,-431,-31,-6,-3
201,-802,-385,-13,11,16
160,-671,-417,14,-6,12
211,-740,-441,-25,-26,-4
235,-735,-448,-29,-2,-5
205,-715,-425,8,12,19
169,-673,-388,4,-14,21
244,-636,-500,-21,-5,2
195,-697,-440,-26,18,13
112,-734,-370,-19,-12,6
207,-721,-482,-33,-39,-2
265,-741,-524,-30,2,5
113,-795,-378,-29,23,1
158,-698,-492,-6,-24,-4
263,-726,-528,-19,-11,1
214,-705,-467,0,34,20
132,-700,-408,14,2,26
187,-661,-473,-17,-9,-2
