accX,accY,accZ,gyroX,gyroY,gyroZ
-642,180,-1961,185,-95,0
-564,54,-1961,-101,-144,115
-434,-230,-1465,-135,-215,207
-234,-211,-1080,-54,-260,237
-139,-196,-903,-40,-248,248
-99,-142,-811,-5,-218,246
-255,-98,-691,-46,-181,288
-347,-380,-742,-45,-283,337
-51,-369,-1062,136,-345,355
39,74,-1172,178,-300,418
186,144,-1162,-5,-269,412
72,101,-975,-137,-226,403
117,42,-894,-214,-215,436
140,-72,-796,-309,-219,436
276,-144,-724,-398,-275,426
554,-257,-753,-436,-240,383
320,-347,-493,-436,-184,385
431,-681,-335,-436,-340,309
1117,-687,-404,-436,-229,345
1122,-918,58,-436,190,373
912,-1234,640,-436,433,247
38,-1738,1481,-436,436,238
-821,-1961,1961,-436,360,36
-547,-1961,1961,-275,-3,-67
-672,-1413,1961,115,-172,-69
-242,-687,1491,252,-267,-23
238,-142,1089,278,-163,20
173,363,1155,1,6,75
-81,-338,1275,-312,-46,19
-18,-446,1067,-298,-54,50
-120,-738,1085,-252,-104,55
99,-541,875,-125,-171,18
285,-554,777,-168,-75,76
167,-488,840,-155,-42,22
208,-503,769,-254,-14,84
154,-809,836,-240,18,69
115,-672,766,-242,-12,74
-20,-877,949,-296,-66,72
58,-895,839,-295,-217,34
278,-1007,705,-336,-259,39
262,-1289,687,-339,-293,16
410,-1421,573,-206,-365,-48
560,-1227,420,-63,-312,-33
516,-1154,369,-7,-265,-14
523,-974,331,25,-246,-7
513,-926,286,-27,-207,19
501,-1075,208,-31,-198,38
544,-1049,118,42,-185,55
613,-910,93,76,-172,57
530,-680,208,0,-140,43
420,-864,222,-147,-139,45
425,-1171,179,-58,-175,51
642,-912,9,45,-155,57
607,-783,30,-30,-48,75
421,-921,153,-106,-37,66
327,-1034,220,-115,-98,29
339,-1063,174,-81,-180,-15
415,-1031,81,-48,-189,-24
389,-1038,32,-27,-188,-33
458,-982,-35,-14,-191,-33
482,-971,-28,-33,-146,-23
350,-1008,43,-50,-140,-20
348,-1020,41,-41,-193,-28
405,-966,12,-33,-188,-26
312,-967,59,-32,-200,-24
421,-944,-28,-22,-229,-33
511,-925,-90,-9,-165,-20
416,-899,-76,-3,-106,-15
302,-878,-52,-24,-104,-26
267,-938,-62,-53,-123,-40
330,-982,-125,-25,-105,-31
286,-920,-138,12,-60,-12
241,-852,-161,10,-36,1
222,-850,-167,-11,-33,8
252,-851,-199,-21,-6,20
220,-872,-177,-27,23,33
185,-874,-147,-25,29,36
166,-880,-141,-35,23,34
158,-936,-110,-39,8,25
