accX,accY,accZ,gyroX,gyroY,gyroZ
-11,-1053,-44,-66,2,-143
-88,-786,43,0,-24,-143
8,-692,-54,-62,-58,-141
87,-793,-87,-54,-36,-95
28,-783,-21,18,-25,-68
-71,-742,-17,4,-93,-86
20,-837,-115,-27,-157,-73
130,-965,-131,-10,-160,-27
190,-912,-210,-3,-147,11
218,-891,-172,-43,-135,34
320,-879,-221,-84,-122,41
389,-960,-283,-111,-51,64
289,-1065,-225,-77,28,70
279,-1009,-209,-34,84,65
171,-861,-148,0,139,73
125,-833,-162,0,177,86
75,-939,-344,6,239,123
-64,-1121,-271,67,222,146
-29,-985,-162,133,97,57
82,-771,-213,52,-44,-101
104,-852,-317,-85,-96,-185
84,-1098,-362,-54,-94,-193
99,-947,-357,32,-70,-172
118,-831,-323,49,-35,-140
62,-772,-277,63,-16,-125
6,-702,-250,51,-31,-119
-29,-673,-239,23,-59,-102
-21,-674,-262,1,-82,-65
-3,-705,-291,-30,-94,-14
18,-824,-321,-53,-101,32
41,-931,-328,-40,-110,63
108,-846,-341,-21,-103,98
176,-919,-388,-69,-64,137
85,-1210,-464,-126,-65,150
160,-1313,-397,3,-75,132
327,-817,-242,85,-73,104
391,-536,-84,3,-24,67
226,-722,57,-186,-41,-29
221,-1210,-141,-161,-93,-99
177,-1049,-245,30,-91,-118
289,-794,-345,16,-45,-59
353,-904,-319,0,35,-26
269,-871,-244,15,100,-52
105,-872,-182,0,133,-69
38,-968,-187,27,90,-86
11,-833,-161,70,40,-112
50,-675,-177,37,-15,-132
97,-631,-184,-30,-19,-111
81,-744,-189,-55,-8,-51
93,-821,-219,-31,7,22
118,-835,-260,-15,12,56
76,-879,-290,-87,8,73
93,-1137,-314,-107,-29,66
185,-1084,-374,-40,-36,68
267,-925,-327,9,-2,95
311,-764,-270,58,61,121
287,-649,-280,53,141,134
170,-757,-349,-50,218,154
72,-1114,-330,-55,268,211
89,-1123,-243,63,274,250
151,-928,-164,93,257,227
149,-890,-85,68,223,161
105,-893,-90,54,173,85
88,-892,-180,24,140,53
112,-1086,-239,42,117,59
102,-1041,-232,123,89,51
96,-1019,-209,97,32,-3
65,-1123,-244,102,-42,-82
29,-1146,-369,99,-105,-159
-5,-1249,-470,86,-157,-231
8,-1091,-489,145,-182,-270
59,-779,-424,89,-166,-261
164,-622,-270,47,-106,-205
263,-428,-145,-15,-19,-144
215,-502,-79,-192,87,-114
1,-1038,-57,-250,139,-103
-87,-1176,-42,-53,136,-30
-31,-791,-49,24,133,48
5,-723,-9,-74,135,75
