accX,accY,accZ,gyroX,gyroY,gyroZ
592,569,-507,436,-48,-151
155,1102,449,-40,135,-180
-228,-641,1135,-436,-53,-150
26,-1961,1167,-40,-88,11
181,-714,1034,386,-61,31
347,1,1005,118,-78,-9
542,-576,1286,-36,-191,-74
694,-604,1453,56,-273,-169
822,-923,1520,-1,-352,-265
1037,-992,1527,157,-292,-378
894,-566,1530,136,-226,-427
636,-459,1385,156,-263,-403
755,-43,1092,143,-259,-410
713,17,1088,37,-237,-425
631,-61,1014,74,-202,-436
476,95,913,161,-190,-436
433,218,868,141,-138,-436
-24,305,785,199,-70,-417
-215,361,529,325,-141,-319
-297,788,113,346,-98,-211
-640,556,-128,132,-145,-159
-364,623,-425,228,-141,-47
144,1297,-590,208,-154,85
636,1151,-537,-106,-131,14
663,1107,-428,-103,26,-118
137,831,-73,-110,82,-227
104,1316,-64,89,51,-130
230,1310,-113,-114,-19,-103
333,784,-135,-91,56,-171
11,1257,-37,37,109,-65
17,1000,139,-251,13,-109
141,602,336,-174,13,-43
111,673,422,-188,146,-75
-110,454,827,-317,99,-64
115,273,977,-340,135,-55
-370,13,1157,-271,209,-63
-326,358,1067,57,149,30
-388,1000,962,-117,144,13
-167,893,1296,-119,-2,131
194,804,1328,-167,-142,46
332,-53,925,-17,-6,-81
-20,880,778,414,81,-70
-405,1404,1179,-6,-79,-15
-223,391,1235,-141,-258,55
329,316,849,111,-205,95
41,420,1043,163,-84,42
239,667,611,216,-144,6
234,848,371,82,2,-40
-224,663,608,47,1,-29
-37,815,350,107,-80,-17
37,914,221,10,-5,-30
-82,793,330,65,-25,-29
-113,992,303,89,2,-58
-316,1111,297,124,-20,49
-111,1104,255,50,-207,163
396,1091,11,6,-170,164
142,1113,102,9,-89,146
-12,1077,-96,-24,-122,151
36,606,-456,-49,-35,19
-382,946,-412,32,277,-123
-543,1780,-42,-129,177,156
-170,603,230,-436,-90,321
618,-272,107,-297,-94,328
682,458,160,117,181,336
136,897,463,-118,185,278
256,413,459,-376,94,275
326,49,684,-285,134,323
436,474,712,-268,157,346
285,102,1002,-436,83,315
714,-211,876,-430,13,316
635,-299,1066,-436,107,296
898,-485,1058,-419,88,257
567,-427,866,-432,251,276
210,-917,1172,-436,86,236
510,-1304,766,-436,73,294
-90,-1239,986,-430,-80,302
342,-1793,855,-294,-311,277
1053,-1325,-38,-20,-45,219
-89,-812,524,-207,112,218
