accX,accY,accZ,gyroX,gyroY,gyroZ
115,-848,-502,-436,-106,-353
275,-1026,-601,-436,-243,-337
212,-1007,-485,-436,-340,-325
303,-868,-505,-436,-406,-293
468,-777,-466,-418,-363,-243
451,-726,-211,-316,-191,-136
726,-1149,308,-226,-159,17
238,-646,-46,250,128,27
177,-3,-26,180,33,76
396,-438,-180,56,23,51
457,-650,-372,251,94,39
543,-478,-625,385,202,88
635,-436,-726,395,309,136
580,-526,-626,346,380,191
575,-729,-475,358,333,206
543,-852,-309,353,221,214
651,-909,-263,346,132,199
675,-885,-190,295,96,182
674,-994,-194,230,96,174
636,-1033,-148,223,88,163
641,-958,-117,184,66,137
655,-958,-111,75,19,102
734,-1040,-160,17,-56,47
891,-906,-284,-60,-89,-21
914,-961,-332,-168,-54,-72
849,-956,-377,-224,-19,-128
685,-951,-402,-333,-36,-171
657,-1066,-479,-408,-97,-203
658,-1039,-535,-427,-116,-220
529,-921,-463,-436,-146,-229
419,-979,-451,-436,-174,-220
318,-751,-370,-385,-267,-216
436,-511,-409,-403,-293,-169
420,-585,-311,-397,-217,-111
403,-642,-235,-262,-171,-64
-80,-484,361,-158,-264,-55
863,-434,-366,-23,40,9
280,-419,-63,83,172,37
189,-434,-84,180,64,26
557,-476,-433,261,81,43
616,-588,-598,346,222,70
566,-582,-634,415,289,92
435,-622,-539,398,302,131
346,-846,-375,387,152,135
628,-887,-453,408,59,115
726,-812,-418,349,144,119
602,-921,-278,283,190,117
545,-855,-178,245,243,138
428,-986,24,190,219,176
415,-1017,105,189,203,192
417,-1054,159,156,85,187
668,-1008,58,135,69,173
664,-1013,101,52,30,127
747,-1035,62,-12,-41,69
858,-1033,-73,-103,-159,-27
1074,-966,-349,-212,-171,-118
967,-954,-414,-350,-82,-182
763,-1188,-432,-436,-92,-231
718,-1308,-507,-436,-108,-272
589,-1117,-523,-436,-130,-279
508,-1073,-565,-436,-173,-269
526,-979,-593,-436,-186,-237
346,-719,-426,-432,-176,-199
143,-589,-232,-436,-292,-170
413,-615,-301,-436,-341,-116
573,-658,-58,-308,-184,-29
784,-1083,-422,-28,-70,-12
307,-276,42,243,151,12
146,-157,12,63,75,25
425,-740,-184,122,26,21
731,-653,-547,364,207,73
592,-522,-539,408,401,138
522,-751,-578,436,436,201
453,-760,-468,436,436,263
315,-846,-197,430,282,296
590,-992,-208,372,154,259
467,-968,-33,266,108,265
630,-1169,-68,195,70,261
560,-1124,42,195,133,249
