accX,accY,accZ,gyroX,gyroY,gyroZ
1586,-771,-667,161,228,-235
1811,-901,-1169,-52,349,-349
1420,-1331,-1253,-104,436,-358
1028,-1395,-1175,-80,436,-389
751,-1463,-1039,-112,436,-419
399,-1397,-837,-99,436,-397
105,-1359,-650,-38,436,-372
-64,-986,-423,-11,436,-362
-132,-931,-182,-85,436,-333
-414,-872,168,-52,436,-318
-428,-574,386,-57,436,-256
-372,-395,513,-131,366,-224
-427,-487,738,-242,287,-173
-553,-835,1066,-176,168,-106
-454,-699,1115,-85,47,-89
-342,-687,1109,-71,8,-58
-373,-690,1166,-37,4,-28
-325,-638,1160,7,-39,5
-82,-511,1077,-10,-51,17
-17,-581,1111,-52,-9,6
-19,-658,1171,-37,4,-14
-17,-584,1146,-22,19,-20
14,-625,1123,-31,59,-28
-33,-638,1198,-26,89,-39
-64,-684,1261,-65,159,-54
-455,-926,1516,-59,286,-38
-785,-1032,1640,51,276,12
-780,-890,1544,114,283,56
-956,-879,1477,137,345,121
-1158,-803,1414,190,324,193
-1012,-604,1250,186,202,271
-611,-634,1000,155,125,330
-323,-570,812,145,108,335
-209,-549,642,128,193,305
-605,-432,767,124,220,268
-608,-145,726,38,197,290
-903,-392,839,23,157,280
-823,-145,678,108,114,320
-819,70,630,118,113,367
-749,246,572,15,74,405
-605,167,607,-66,10,417
-391,116,639,-93,-10,399
-187,22,653,0,-14,418
0,243,521,91,-38,375
-116,510,408,38,-99,320
-12,446,290,33,-170,338
34,569,230,51,-202,312
279,684,228,-17,-193,290
337,351,364,27,-107,293
492,567,259,136,-24,247
366,689,346,72,14,249
505,500,280,62,-2,233
451,511,249,90,22,239
475,556,197,49,-33,242
483,415,197,-3,-77,235
562,294,111,19,-153,220
716,359,-13,39,-109,207
658,382,28,18,-23,231
671,210,106,-10,15,261
619,151,195,4,-17,258
669,39,98,-46,-77,280
902,-199,-16,-15,-79,290
882,-232,-29,-5,-38,279
899,-290,-21,-3,-33,291
917,-293,-64,-1,-26,297
967,-341,-103,-67,-12,318
998,-552,-98,-128,-34,309
1053,-794,-55,-80,-31,303
1236,-835,-257,17,-14,288
1321,-805,-282,51,99,238
1160,-702,-55,3,174,169
929,-809,31,-121,160,130
873,-981,159,-77,88,143
736,-810,152,-85,30,159
973,-699,262,-79,-10,208
786,-792,322,-176,-29,192
919,-1078,95,-83,-74,189
876,-730,-111,0,15,209
804,-850,-196,-143,103,240
