accX,accY,accZ,gyroX,gyroY,gyroZ
654,-1425,-348,-259,161,-436
1390,-1296,-699,-374,64,-436
1102,-1627,-397,-310,189,-436
1177,-1032,-380,-280,0,-436
1459,-707,-676,-432,-62,-436
1187,-740,-644,-359,66,-354
861,-361,-189,-339,161,-202
627,-515,56,-122,142,-209
701,420,-606,41,377,-109
-241,162,-7,22,361,-40
306,290,-202,0,208,-63
254,308,-219,54,341,0
404,267,-67,-31,213,14
791,387,-178,-28,286,21
373,277,363,-89,234,-18
204,167,607,-131,198,-65
-506,160,1146,-70,143,-45
-415,352,1086,-35,96,53
-356,-52,1480,15,60,154
142,196,993,72,-37,123
210,106,971,73,-18,159
475,148,766,50,-99,127
814,97,530,52,-81,110
632,298,378,45,-65,45
978,378,17,-12,-96,65
834,240,252,-69,9,73
752,314,454,-138,-134,35
979,-119,581,-128,-113,51
902,121,445,-21,-57,30
630,61,704,-63,-82,45
965,-72,390,-4,-151,57
898,-3,373,44,-63,66
865,45,311,-3,-230,50
1331,-89,-10,27,-83,120
697,-38,441,38,-99,111
1067,-164,27,7,-222,82
974,-77,0,76,-89,130
1093,-124,68,-3,-112,201
1023,-537,83,25,-45,185
1094,-219,-46,83,-179,132
1308,-445,-112,-32,7,221
849,-721,208,55,-90,162
1287,-502,-97,25,-22,222
816,-886,347,-3,-45,220
1059,-820,134,26,-111,188
896,-982,93,97,-67,181
858,-746,5,112,-187,125
859,-716,-153,54,-148,165
786,-915,-144,57,-182,160
738,-819,-158,46,-196,120
889,-971,-285,44,-125,194
609,-1017,-84,109,-44,163
393,-841,34,79,-145,139
495,-986,-172,39,-190,147
437,-1018,-191,85,-177,118
311,-898,-142,56,-251,82
345,-1035,-222,32,-310,12
240,-918,-190,67,-378,-27
536,-902,-359,55,-317,25
425,-997,-289,90,-173,84
322,-889,-186,81,-140,100
335,-880,-131,18,-92,134
291,-1029,-66,14,-62,154
216,-1019,-23,33,-74,108
82,-941,27,13,-131,80
162,-962,-103,-17,-173,60
131,-957,-33,-26,-155,33
85,-922,11,-51,-157,31
131,-1021,-42,-33,-114,11
4,-981,10,-8,-68,-7
-35,-994,30,-17,-71,5
-4,-1044,14,-1,-59,-6
-42,-969,55,-3,-49,-18
-30,-985,71,-26,-45,-9
-9,-988,61,-19,-33,-11
-13,-939,71,-25,-13,-10
-31,-977,86,-30,1,-1
-44,-992,95,-13,8,-1
-62,-955,99,-12,-5,-5
