accX,accY,accZ,gyroX,gyroY,gyroZ
266,-1380,161,436,148,-152
335,-1001,245,436,95,-92
388,-755,343,436,111,-108
448,-786,366,436,32,-91
697,-703,206,436,48,-190
340,-486,59,436,13,-165
394,-368,-276,436,-86,-71
742,-171,-716,436,-8,-137
490,17,-575,436,99,-289
-83,-549,-351,352,23,-325
-101,76,-1092,436,-80,-189
64,420,-1270,134,3,-195
-435,-253,-1178,312,36,-97
-542,1038,-1388,213,-80,21
-279,-75,-1169,29,-119,6
-536,542,-1064,219,-120,46
-478,486,-1159,241,-169,115
-346,306,-1369,260,-171,147
-312,219,-1584,240,-120,186
-407,61,-1657,173,-137,313
82,-74,-1961,118,-209,374
248,-34,-1961,82,-171,417
-112,121,-1961,-193,-191,436
538,-479,-1961,-379,-267,436
971,-179,-1961,-351,-10,423
576,4,-1634,-436,163,324
-156,-1318,-636,-436,-58,76
1025,-1961,-1490,-436,-212,126
588,-1483,-1248,-436,182,369
-437,-1961,-475,-436,92,52
1082,-1961,572,-436,163,214
-1033,-1961,1961,-241,436,230
-1268,-950,1961,-19,65,-69
-750,-476,1961,-195,-68,-132
-1130,-390,1961,-173,12,-26
-494,-545,1961,-139,-71,-3
-341,-403,1961,-113,38,-1
-598,-345,1961,-52,-68,-13
-324,-391,1632,-14,-43,16
-240,-360,1454,9,-34,9
-131,-385,1352,-31,-46,-29
-53,-567,1242,-16,0,-48
-144,-564,1140,67,-8,-60
-276,-445,1086,17,-84,-89
-35,-602,926,-63,-115,-95
169,-679,837,29,-51,-83
-41,-523,830,91,33,-92
-231,-91,919,143,-19,-52
-45,189,912,-27,-140,-12
198,-14,885,-143,-98,4
-2,57,981,-107,-105,52
134,182,1083,-184,-234,70
338,22,1032,-248,-252,70
218,-203,1084,-199,-264,118
361,-80,913,-124,-330,184
462,-146,746,-126,-327,215
502,-236,790,-203,-197,256
311,-681,997,-233,-188,296
289,-961,869,-22,-266,292
658,-680,532,64,-291,345
1022,-975,364,-56,-33,405
336,-984,719,-6,130,350
297,-775,748,-147,4,339
260,-1237,656,-313,1,315
4,-1339,724,-260,-153,191
335,-1257,497,-311,-268,138
613,-1527,320,-268,-134,168
349,-1485,398,-102,20,176
229,-1181,539,-111,26,151
281,-1425,524,-173,127,139
18,-1512,653,-35,90,68
-108,-1117,602,54,-45,-9
1,-929,442,0,-112,-34
28,-973,374,-30,-92,-34
135,-957,325,-35,-13,-22
-52,-979,396,-42,56,1
-157,-1038,472,-39,0,-11
-77,-1050,398,-13,-24,-18
-72,-1020,379,9,-27,-21
