accX,accY,accZ,gyroX,gyroY,gyroZ
1206,-1373,667,190,-36,-382
1343,-1319,613,252,-28,-436
1345,-1139,585,267,-20,-436
1358,-1265,557,275,9,-436
1135,-1181,533,330,48,-436
867,-1038,475,371,47,-436
827,-910,357,398,33,-436
757,-720,195,419,82,-436
639,-537,171,399,112,-436
460,-416,95,417,117,-436
346,-325,-57,436,99,-410
286,-260,-220,436,93,-377
221,-263,-360,436,74,-343
228,-27,-602,436,86,-300
78,-63,-721,423,76,-282
169,-99,-1039,420,98,-272
-193,105,-1162,361,121,-234
-283,170,-1341,261,57,-189
-294,85,-1498,177,-12,-152
-421,53,-1473,101,-87,-113
-351,-45,-1529,106,-180,-38
-313,6,-1591,76,-244,13
-239,3,-1519,26,-304,51
-246,45,-1332,-14,-334,84
-222,121,-1202,-34,-349,117
-224,63,-1102,-39,-349,133
-281,101,-1061,-36,-329,177
-228,33,-1043,-68,-280,230
-213,-129,-983,-97,-251,241
-12,-253,-979,-51,-168,254
-56,107,-1001,-50,-45,308
62,163,-982,-247,-110,363
339,-109,-651,-370,-22,369
439,-98,-466,-419,47,329
418,-75,-343,-436,104,309
79,-594,65,-436,66,268
84,-904,347,-436,-171,252
637,-966,135,-436,-115,354
350,-1961,513,-436,137,391
11,-1961,1504,-436,191,328
-161,-1961,1961,-436,97,294
153,-1587,1961,-341,-96,192
604,-1067,1961,-303,-37,89
289,-1216,1961,-120,43,-17
59,-857,1961,-13,33,-55
24,-674,1915,19,19,-31
15,-546,1695,34,-17,-6
116,-513,1494,14,-68,-3
276,-560,1226,32,-73,-2
300,-520,981,62,-61,-23
260,-411,824,68,-71,-70
244,-346,765,-1,-79,-91
297,-419,733,-31,-81,-89
271,-350,743,-42,-51,-94
149,-347,818,-109,-58,-77
221,-502,807,-93,-107,-41
333,-396,789,-87,-93,-19
257,-414,867,-117,-99,0
352,-397,851,-121,-134,16
429,-409,894,-153,-137,49
525,-592,936,-146,-132,91
645,-581,939,-109,-123,105
649,-557,999,-143,-103,117
646,-794,1028,-108,-120,131
754,-646,980,-74,-119,138
777,-725,990,-102,-104,146
778,-860,970,-63,-110,137
780,-716,954,-42,-104,128
680,-842,937,-37,-111,131
672,-826,831,9,-142,124
697,-794,713,23,-147,119
684,-781,646,28,-130,114
631,-760,607,23,-122,108
625,-792,570,16,-122,102
605,-815,537,17,-116,96
575,-780,530,9,-109,94
543,-814,523,-10,-109,95
534,-841,510,-14,-111,93
486,-833,507,-13,-104,93
