accX,accY,accZ,gyroX,gyroY,gyroZ
776,-1295,317,436,179,-6
793,-872,-58,436,161,46
867,-637,-106,436,90,28
1032,-217,-224,436,82,-12
1067,-278,-303,436,198,-67
707,-184,-371,436,297,-40
336,30,-268,436,226,-21
424,330,-396,436,61,-54
678,361,-714,404,57,-65
468,96,-588,332,54,-119
65,305,-722,328,-27,-132
304,626,-1010,220,-139,-43
430,283,-664,78,-60,26
527,147,-762,133,-4,-6
278,270,-1081,157,30,17
352,372,-1361,158,-7,36
333,353,-1295,103,0,46
156,421,-1325,153,-82,131
416,231,-1458,139,-247,215
727,270,-1615,104,-225,214
591,250,-1479,76,-209,284
483,194,-1450,8,-326,410
951,-28,-1667,-75,-436,397
1088,-66,-1585,-60,-358,288
967,409,-1494,20,-224,295
645,703,-1211,-170,-228,251
692,596,-1372,-347,-301,252
693,479,-1351,-436,-234,259
304,-156,-1046,-436,-275,183
-252,-519,-1328,-436,-436,234
509,-1961,-1682,-436,-436,172
1692,-1512,-1670,-436,-436,262
1109,-1961,-1277,-436,-88,150
781,-1913,-1235,-436,-52,22
-21,-1961,-1132,-436,379,139
-988,-1961,654,-436,93,146
582,-1961,336,-436,138,120
691,-1961,172,-436,365,68
-944,-1961,891,-367,436,-138
-858,-1931,374,-121,-101,-286
368,-1267,-612,-278,-21,-186
-179,-1961,-199,-436,303,-33
-183,-1961,144,-332,236,-16
-68,-1891,-69,-304,287,-86
-487,-1826,272,-272,214,-82
-698,-1954,538,-156,-15,-176
-526,-1301,271,35,-270,-187
-136,-842,-36,-34,-317,-99
-154,-1012,66,-243,-367,-98
-1003,-1961,1069,-388,-436,-436
571,-1512,-537,224,-436,-284
785,-758,-366,87,-436,-288
647,-693,-308,-64,-267,-176
408,-830,-241,-49,-127,-35
378,-758,-227,-20,-111,10
421,-730,-256,-74,-103,16
413,-931,-264,-77,-60,25
372,-937,-290,5,-1,32
250,-862,-200,0,13,-7
190,-874,-171,-21,-23,-56
179,-850,-179,-27,-46,-68
196,-893,-221,-32,-46,-65
197,-877,-217,-11,-25,-54
146,-834,-182,-5,-2,-24
143,-866,-218,-6,9,10
159,-872,-214,6,11,17
151,-822,-211,-9,-2,6
169,-861,-220,-19,-15,3
186,-837,-220,-21,-12,7
209,-870,-227,-30,-1,15
195,-881,-205,-20,4,9
194,-859,-208,-17,6,12
186,-868,-221,-14,11,15
198,-854,-224,-7,8,5
194,-838,-229,-25,0,0
205,-868,-240,-14,7,-2
176,-854,-222,-12,15,3
160,-872,-225,-4,16,5
158,-859,-234,-1,8,-1
