accX,accY,accZ,gyroX,gyroY,gyroZ
418,-1961,1179,154,303,-152
394,-1961,1320,273,227,-210
383,-1961,1168,399,182,-230
464,-1961,788,436,155,-239
536,-1961,509,436,173,-220
505,-1961,420,436,168,-193
582,-1961,272,436,140,-191
665,-1957,83,436,162,-176
488,-1636,43,436,193,-146
309,-1390,25,436,132,-135
223,-1031,-36,436,36,-154
260,-675,-105,436,-2,-174
185,-464,-75,436,16,-163
171,-448,-69,436,0,-145
162,-324,-131,436,29,-128
177,-205,-209,436,28,-113
302,-110,-344,436,105,-118
318,-156,-399,383,173,-94
287,-153,-378,305,234,-76
49,-482,-391,181,157,-58
95,-876,-956,272,132,-52
-238,-817,-1433,436,155,-57
-210,-33,-1799,436,219,81
84,526,-1708,436,128,154
435,554,-1932,174,78,-8
174,-432,-1961,53,12,-23
143,-515,-1961,260,-44,-26
13,-5,-1961,174,-58,35
-126,166,-1961,-264,-207,78
195,-548,-1961,-436,-436,114
794,-808,-1961,-302,-436,89
451,-270,-1376,-207,-391,80
215,-204,-907,-298,-422,91
279,-199,-649,-175,-377,85
-160,62,-334,-73,-295,146
-238,102,-315,-21,-349,194
-485,146,-364,-19,-389,320
-60,-93,-694,7,-436,436
531,61,-734,-34,-330,436
323,89,-405,-246,-101,436
179,-334,-168,-385,-84,376
54,-361,-49,-375,-161,306
418,-428,-146,-354,-273,268
664,-297,-156,-312,-116,270
399,-135,20,-422,-45,243
642,-338,-178,-436,-24,184
415,-615,88,-436,127,271
388,-937,449,-436,32,221
647,-1540,578,-436,46,252
974,-1961,1325,-436,104,196
841,-1961,1961,-268,238,122
-30,-1794,1961,-180,150,-20
84,-1135,1961,-28,-19,-100
-299,-881,1961,-38,38,-40
-180,-718,1961,71,13,-5
-117,-390,1870,65,76,65
-101,-564,1541,-68,0,56
56,-745,1108,-17,-50,30
-51,-634,872,99,-78,32
133,-453,554,127,-154,5
110,-252,457,68,-92,10
-151,-240,509,-40,-119,15
-96,-189,393,-95,-250,12
-22,-120,321,-196,-242,82
176,-275,275,-238,-222,149
202,-369,242,-303,-158,193
99,-640,325,-398,-210,235
259,-865,121,-436,-263,262
279,-1525,1,-436,-293,270
424,-1487,-188,-301,-347,258
668,-1653,-439,-344,-310,283
712,-1810,-485,-297,-244,280
928,-1646,-531,-293,-159,270
826,-1598,-321,-322,-77,203
689,-1445,-235,-363,-71,121
-1961,-1961,1961,294,-436,-436
1961,-326,-1961,436,-436,-436
1428,402,-535,-148,204,-64
11,-822,-27,-436,255,-24
