accX,accY,accZ,gyroX,gyroY,gyroZ
1236,-1961,799,171,-235,-436
1209,-1961,363,272,-187,-436
1961,-1961,-495,269,-52,-436
1326,-1961,-428,346,305,-436
796,-1961,-343,436,165,-436
1325,-1857,-712,310,153,-436
828,-1961,-602,316,267,-436
550,-1503,-508,360,231,-436
311,-1182,-343,334,210,-436
-29,-916,-160,290,104,-436
-79,-616,-31,226,-28,-436
-273,-469,45,131,-24,-436
-571,-628,225,47,-124,-436
-620,-470,193,29,-111,-436
-812,-309,333,-31,-121,-436
-865,-403,377,-218,-172,-436
-1134,-583,582,-282,-148,-436
-1154,-582,642,-323,-278,-436
-995,-887,730,-399,-365,-436
-774,-693,836,-360,-367,-408
-706,-777,1316,-436,-242,-252
-778,-1096,1814,-314,-156,-142
-1402,-1155,1961,-39,-211,29
-75,-1472,1782,249,32,93
-600,-1023,1482,436,204,229
-791,-670,1443,436,194,287
-682,-643,1243,436,125,327
-295,-637,841,436,254,370
-751,-568,753,436,367,436
-779,-287,371,373,263,436
-469,-126,114,239,196,436
-464,-82,-63,97,210,436
-195,-105,-166,18,215,436
-220,324,-338,-16,203,436
78,323,-458,-307,143,436
384,-352,-367,-350,118,436
1361,38,-531,-372,53,436
1961,-435,-451,-436,130,436
1961,-918,78,-436,201,271
1961,-1198,501,-436,114,23
1961,-945,552,-436,173,-116
1961,-1265,879,-436,230,-274
1731,-1432,1110,-436,204,-405
1735,-1917,1173,-436,258,-436
1127,-1961,1353,-422,291,-436
640,-1961,1683,-272,239,-436
-15,-1961,1681,-145,179,-436
-309,-1933,1219,109,91,-436
-615,-1055,1154,91,38,-436
-435,-1062,1066,-36,159,-436
-1200,-980,1234,133,225,-342
-1871,263,1076,318,339,-1
-1550,-22,1329,-62,125,-75
-1815,-41,1388,-19,109,158
-1706,-107,1482,-156,122,356
-1706,-751,1731,-122,119,436
-1280,-887,1739,-80,49,436
-908,-1400,1735,-116,245,436
-1432,-1800,1961,34,327,436
-1445,-1408,1821,-126,333,436
-1961,-1961,893,-436,125,436
-873,-1961,501,-436,-436,436
1961,-1961,-1523,436,-436,436
1961,-1439,-305,-84,401,201
-311,-1733,1502,253,299,-54
182,779,502,436,120,58
277,487,769,-292,3,9
316,-597,1173,-205,-30,-12
365,-160,1020,-152,-45,-55
297,-417,933,-136,-26,-100
221,-202,857,-152,-16,-137
257,-370,809,-252,6,-169
120,-629,840,-328,51,-213
-153,-846,935,-263,19,-207
-28,-743,834,-116,-38,-166
-82,-530,884,-135,-56,-154
-157,-499,891,-206,-129,-137
85,-396,737,-184,-134,-55
-10,-450,811,-277,-132,1
