accX,accY,accZ,gyroX,gyroY,gyroZ
839,-1068,-686,0,342,-436
777,-581,-691,70,334,-436
834,-8,-582,-44,356,-436
780,-273,-304,-221,347,-436
693,-426,24,-187,266,-436
639,-224,65,-168,231,-436
420,-396,246,-231,198,-436
286,-494,269,-215,95,-436
296,-425,105,-234,57,-436
241,-527,-54,-309,116,-436
14,-647,-118,-348,209,-436
-153,-840,-196,-433,318,-436
-377,-1297,-234,-425,436,-424
-976,-1499,1,-394,436,-436
-1594,-1718,442,-363,380,-436
-1961,-1631,1019,-328,166,-428
-1961,-1411,1533,-228,-66,-232
-1961,-1562,1665,-51,-257,23
-1696,-1371,1209,144,-181,190
-1389,-1276,791,345,-171,253
-1195,-738,324,395,-242,272
-870,-230,-55,287,-351,300
-588,37,-198,70,-409,283
-216,-75,-181,-38,-436,208
86,4,-167,-24,-435,101
331,148,-261,-55,-378,78
609,132,-340,-139,-362,28
863,114,-430,-266,-369,-9
1360,-304,-460,-394,-359,-34
1195,-527,-194,-363,-352,-113
1193,-440,-114,-436,-436,-172
1948,-1480,-27,-436,-436,-170
1280,-1523,824,-436,-402,-258
1642,-1561,1011,-411,-436,-179
1961,-1882,1180,-219,-310,-133
1583,-1861,1539,-51,-233,-136
1335,-1748,1551,163,-238,-155
965,-1527,1399,374,-216,-133
740,-1593,1066,436,-184,-72
699,-1460,656,436,-188,4
947,-1591,371,436,-172,74
1159,-1895,-19,436,-75,80
849,-1961,-61,436,-7,125
422,-1961,-608,436,-158,100
138,-1961,-1512,436,-435,-115
-1001,-1371,-1394,436,-436,-291
-853,246,-1890,360,-436,-120
1173,-116,-1572,-73,-397,234
1345,-1202,-743,-115,62,120
737,-781,-418,37,223,-85
270,-479,-166,-21,131,-122
404,-484,-111,-166,2,-83
546,-708,-66,-235,-57,-65
619,-572,-11,-237,-64,-67
815,-357,-23,-262,0,-24
673,-614,139,-247,58,30
659,-502,221,-113,-42,-1
864,-116,76,-49,-61,5
930,-265,90,-60,-46,60
981,-303,59,31,-83,65
1139,-125,-71,66,-85,71
1179,-83,-9,43,-52,85
1051,-200,76,25,-22,60
899,-302,164,121,-53,36
878,-169,129,186,-48,69
815,-157,162,235,-18,90
673,-144,165,218,6,133
777,-530,172,267,-8,210
809,-408,110,266,28,279
763,-617,148,214,0,303
831,-685,103,194,-27,291
854,-831,139,105,-48,310
782,-890,177,86,-63,279
868,-1074,111,-14,-93,278
925,-1400,50,68,-44,259
633,-889,158,80,-37,173
533,-1065,160,-20,-91,140
535,-1135,111,1,-85,163
504,-1119,139,-13,-69,169
