accX,accY,accZ,gyroX,gyroY,gyroZ
1451,-1961,-1961,436,436,-393
1152,-1961,-1961,436,436,-436
765,-1961,-1961,436,436,-436
392,-1645,-1961,436,436,-436
12,-1502,-1649,436,436,-436
-177,-1407,-1573,436,436,-436
-374,-1266,-1466,436,436,-436
-599,-1352,-1368,378,349,-436
-777,-1634,-1431,256,243,-436
-1194,-1961,-1345,324,169,-436
-1795,-1961,-1420,419,165,-436
-1961,-1869,-1855,436,436,-436
-1961,418,-1838,436,436,311
-1961,876,-739,436,436,436
-1961,-157,-768,-436,-401,436
-1961,-1961,-1961,-436,-436,436
-1079,-1961,-1961,436,-436,436
585,-1176,-1961,436,-436,436
242,-508,-1961,436,266,436
-442,659,-1790,337,113,436
428,345,-1961,-436,-313,436
1961,-1961,-1961,-436,-436,436
1961,-1147,-1961,-436,-81,170
1961,-674,-1246,-436,436,127
1170,-1961,359,-436,398,-178
1516,-1524,1016,-436,112,-436
657,-1961,1949,-436,332,-405
158,-1961,1961,-117,436,-436
-1694,-1829,1961,-2,436,-436
-1751,-961,1961,-84,421,-287
-1091,-944,1369,158,192,99
-254,-1109,469,349,163,187
-396,-486,336,436,248,123
-562,376,171,299,284,81
-1387,290,276,-164,311,162
-1470,-232,120,-403,283,277
-1732,-587,128,-436,280,358
-1944,-1081,357,-436,92,400
-1585,-1298,197,-436,7,436
-1520,-1572,82,-436,67,436
-1370,-1790,-87,-436,177,436
-1669,-1961,-245,-436,132,436
-1560,-1961,-42,-436,-410,416
-789,-1961,-415,-436,-436,404
936,-1961,597,-289,-436,436
1961,-1961,924,-137,-436,227
1760,-1070,729,159,18,-107
405,-527,793,338,400,12
-450,153,1363,337,168,73
212,517,990,-240,-351,-31
802,-733,755,-368,-147,-75
363,-647,967,-53,-7,-111
39,-220,977,-71,153,-99
-364,-405,1281,-203,-73,-79
397,-805,648,-181,-188,-153
526,-511,751,-179,25,-184
145,-968,960,-276,131,-178
-44,-801,1078,-236,-2,-283
216,-1202,948,-348,-18,-252
-2,-1028,882,17,56,-216
-435,-117,1150,-112,9,-78
-80,-728,1055,-311,-255,-91
584,-534,515,-124,-150,-130
344,-469,700,-300,96,-36
-87,-885,1057,-276,133,-41
-407,-802,1298,-303,-24,-56
97,-925,817,-276,-138,-13
-179,-953,1026,-253,12,41
-448,-1051,1057,-284,-138,54
60,-1235,556,-311,-262,58
297,-1250,346,-232,-208,82
187,-1212,341,-207,-129,109
154,-1316,309,-181,-140,117
129,-1162,236,-130,-158,94
120,-1113,135,-147,-208,69
258,-1104,-15,-158,-198,62
118,-1152,82,-160,-177,37
76,-1146,72,-134,-233,10
139,-1083,3,-127,-249,1
