accX,accY,accZ,gyroX,gyroY,gyroZ
332,34,-356,-22,91,-8
392,-234,-383,-177,48,-48
308,17,-710,-181,81,-45
274,-36,-1187,-330,48,-54
671,-333,-1875,-394,141,-51
96,-121,-1961,-436,227,-74
-81,-651,-1961,-436,36,-206
-81,-1336,-1833,-436,4,-194
-444,-1378,-1362,-436,-134,-231
484,-1961,-1226,-436,-59,-191
345,-1961,-391,-311,-11,-112
485,-1961,198,-141,-3,-107
85,-1961,820,7,-9,-95
151,-1961,171,291,-58,-88
342,-1459,-911,359,-38,-27
542,-1178,-1370,418,50,108
414,-389,-1581,403,76,144
533,-525,-1320,282,5,134
692,76,-1684,344,94,148
483,401,-1413,134,-8,25
308,833,-1485,140,66,13
-173,1188,-1023,-93,26,3
36,1196,-1647,-130,-1,-34
33,1266,-1961,-400,-170,-151
657,241,-1961,-436,0,-56
139,-892,-1317,-436,-16,-40
801,-1774,-1825,-436,13,-10
323,-1961,-834,-436,129,-1
569,-1961,-89,-424,45,-84
37,-1961,395,13,74,-59
-89,-1961,369,132,-12,-95
344,-1961,-593,397,-34,-45
599,-1270,-1608,436,34,10
484,-650,-1566,351,56,20
485,-616,-1480,436,120,134
657,58,-1751,392,69,78
430,119,-1322,278,75,40
265,458,-1292,303,92,38
147,915,-1180,81,15,-49
-135,888,-719,10,23,-23
82,997,-1225,-43,20,-24
-78,872,-1117,-266,-54,-73
64,588,-1350,-285,-35,-4
-41,479,-1667,-422,-97,-20
365,-277,-1702,-436,-147,53
1043,-1601,-1936,-411,26,184
626,-1961,-874,-436,-36,12
612,-1961,-604,-140,23,36
177,-1961,-113,-73,32,-2
96,-1578,-122,116,-19,-31
100,-982,-485,214,4,29
218,-748,-837,273,51,83
288,-686,-959,306,98,113
239,-693,-896,299,88,94
379,-782,-874,271,61,73
254,-772,-646,311,99,101
161,-695,-462,303,128,160
221,-857,-364,327,130,209
351,-864,-398,423,181,223
303,-679,-317,436,239,228
78,-549,-99,400,232,213
-200,-630,123,249,100,155
-301,-705,192,140,-116,109
-130,-660,152,12,-276,72
137,-707,103,-132,-284,35
246,-868,162,-212,-169,13
154,-1013,242,-176,-51,0
8,-962,324,-74,0,-3
-72,-788,378,-26,3,10
-95,-719,386,-45,-22,35
-148,-1118,880,-62,-84,21
47,-1180,722,61,-379,-86
541,-680,252,102,-276,18
694,-586,189,-38,76,88
267,-957,227,-249,291,26
-217,-1418,235,-264,395,19
-560,-1747,427,-111,269,21
-263,-1177,453,135,98,53
-22,-803,390,129,-23,16
