accX,accY,accZ,gyroX,gyroY,gyroZ
350,517,-754,-90,63,103
237,64,-831,-274,85,121
196,-33,-945,-229,101,96
175,131,-1216,-294,135,91
-19,-4,-1486,-436,179,105
-205,-342,-1796,-436,178,67
-334,-351,-1961,-436,130,20
-312,-671,-1961,-436,126,70
-441,-1386,-1961,-436,106,12
-308,-1185,-1961,-436,21,-1
-153,-1961,-1924,-436,69,45
-350,-1961,-1276,-361,-3,-18
-22,-1961,-1041,-207,-33,-13
-205,-1961,-849,121,-38,-6
-207,-1668,-973,261,-107,-51
-173,-1565,-1332,395,-148,-60
-30,-1306,-1738,436,-155,-36
78,-769,-1961,436,-129,-3
134,-382,-1961,436,-117,33
322,-118,-1961,436,-74,79
425,390,-1961,436,-56,25
461,1132,-1961,341,-48,-17
402,851,-1705,-126,-15,-36
224,543,-1219,-205,42,-46
209,503,-1168,-270,95,-30
85,270,-1195,-403,116,-33
54,6,-1352,-436,71,-55
198,-157,-1706,-436,64,-57
22,-554,-1719,-436,95,-29
43,-772,-1720,-436,28,-72
176,-871,-1929,-436,83,-2
88,-1469,-1914,-436,93,-4
192,-1961,-1785,-423,129,-43
-93,-1961,-1190,-216,87,-57
-157,-1961,-949,-47,81,-18
-226,-1580,-647,153,17,36
-123,-1357,-640,244,-45,62
-37,-1255,-966,436,-79,83
83,-833,-1467,436,-122,100
318,-473,-1796,436,-117,125
359,-258,-1736,436,-116,127
556,-139,-1731,436,-90,119
505,75,-1753,436,-46,60
474,771,-1720,436,-55,12
505,737,-1636,51,-10,-1
372,484,-1401,-109,19,-26
251,454,-1225,-222,45,-38
208,200,-1194,-362,65,-27
148,-67,-1329,-436,58,-36
114,-211,-1515,-436,41,-54
44,-440,-1660,-436,49,-13
-145,-877,-1560,-436,64,39
-77,-1213,-1421,-436,43,72
-28,-1538,-1151,-327,66,45
-77,-1529,-949,-162,49,-4
-176,-1304,-729,-42,37,-19
-169,-1146,-606,64,-2,-31
-116,-956,-566,191,-21,-26
-56,-792,-593,306,-45,-27
12,-809,-679,421,-64,-37
-62,-980,-821,436,-93,-74
-149,-1133,-1156,436,-128,-111
-82,-1161,-1532,436,-143,-125
-38,-729,-1306,436,-94,-84
-1,-288,-869,436,-67,-42
-110,-223,-441,243,-78,-16
-146,-618,-250,-1,-147,16
20,-772,-213,-24,-200,7
136,-679,-145,-76,-185,-6
176,-772,-82,-154,-152,-15
214,-884,-37,-143,-97,-2
176,-937,44,-98,-52,22
215,-911,130,-60,-41,43
407,-920,140,-35,-4,68
378,-885,193,-29,88,85
293,-933,287,-74,91,53
385,-1059,247,-102,121,38
371,-1079,192,-76,191,55
184,-1149,267,-55,207,41
