accX,accY,accZ,gyroX,gyroY,gyroZ
-1154,-1961,260,-36,-248,-43
-1136,-1961,70,201,-412,-47
-658,-1961,-402,331,-435,-33
-507,-1770,-568,415,-415,11
-245,-1331,-610,407,-397,59
153,-1193,-475,399,-266,124
438,-724,-493,405,-199,110
661,-258,-465,285,-202,54
1385,26,-688,187,-41,34
1150,352,-524,66,195,-37
964,330,-493,-193,167,-140
1298,-43,-724,-291,341,-155
806,-444,-436,-234,436,-221
744,-366,-557,-252,362,-375
741,-755,-742,-401,348,-436
760,-1207,-975,-363,319,-436
444,-852,-1006,-381,251,-436
207,-1618,-923,-436,165,-436
603,-1961,-1833,-436,141,-179
-421,-1961,-1079,-436,424,93
-1698,-1961,-564,-205,185,-122
-1961,-1961,100,36,-38,-88
-1806,-1961,139,213,-232,118
-280,-1961,-946,310,-354,296
1177,-1550,-1646,354,-316,405
1658,-1620,-1278,349,-299,281
1961,-558,-1397,436,-239,152
1961,738,-1293,436,-92,161
1961,1594,-1553,280,55,-36
1961,945,-1883,-112,84,-293
1293,760,-1862,-436,124,-345
832,-450,-1525,-436,153,-328
714,-1325,-1959,-436,159,-229
-30,-1961,-1258,-436,222,-21
-592,-1961,-343,-408,111,-128
-1720,-1961,123,-21,130,-88
-1932,-1961,479,111,-157,-17
-780,-1961,-555,436,-274,132
283,-1961,-1713,436,-264,340
1110,-1392,-1889,436,-275,325
1706,-750,-1902,436,-237,166
1961,176,-1719,436,-82,187
1961,909,-1460,436,96,186
1657,1189,-987,-10,82,-49
1490,575,-1233,-143,80,-245
930,615,-1280,-320,147,-271
810,-145,-1212,-436,159,-260
745,-654,-1237,-436,131,-291
671,-1073,-1561,-436,153,-179
283,-1736,-967,-436,129,-162
-11,-1961,-1036,-436,154,21
-749,-1961,-705,-122,225,142
-1924,-1961,-5,-25,19,84
-1491,-1961,-113,240,-315,66
-407,-1961,-1772,436,-417,255
788,-1961,-1961,436,-337,436
1039,-1409,-1961,436,-344,333
971,-777,-1608,436,-263,308
806,-508,-876,390,-92,370
502,-102,-341,346,-86,279
793,5,-503,220,-112,181
787,64,-384,290,-48,152
622,103,-196,242,-37,65
278,-126,-180,169,-122,-57
285,125,-280,85,-243,-156
265,105,-243,-192,-250,-230
3,-232,-315,-423,-244,-191
305,-616,-582,-436,-135,-27
116,-1524,-677,-436,219,168
-398,-1961,-225,-436,331,87
-768,-1961,502,-306,97,-97
-611,-1598,210,-268,-125,-187
-268,-1754,-79,-244,-56,-72
-216,-1598,3,-128,135,75
-214,-1491,122,-77,194,135
-322,-1553,239,-56,254,66
-609,-1334,475,21,-78,-71
177,-977,-482,145,-6,29
100,-660,-474,104,222,95
