accX,accY,accZ,gyroX,gyroY,gyroZ
-654,-1632,169,-91,-436,-149
-416,-1224,-201,93,-436,-289
68,-762,-301,-63,-436,-331
243,-1165,-256,-176,-381,-330
233,-1320,-167,-28,-100,-281
25,-1091,-54,76,121,-229
-162,-963,69,112,192,-187
-178,-783,148,118,194,-142
-208,-719,221,68,156,-114
-211,-674,273,30,102,-91
-180,-620,304,-23,59,-55
-157,-650,327,-77,32,-8
-139,-709,335,-95,11,33
-116,-739,330,-110,5,72
-129,-828,322,-129,11,112
-157,-919,315,-113,10,149
-150,-937,276,-102,10,181
-129,-1009,256,-125,32,214
-166,-1097,262,-143,58,239
-214,-1213,276,-157,54,249
-220,-1308,256,-138,25,244
-87,-1345,181,-103,0,225
86,-1304,148,-69,60,197
-37,-1227,205,-50,138,153
-133,-1215,236,-15,137,111
-178,-1034,285,0,96,88
-172,-967,322,-46,37,68
-137,-981,339,-65,-15,55
-81,-995,339,-61,-51,43
-15,-1005,318,-47,-66,32
34,-1053,294,-32,-52,21
31,-1090,292,-6,-33,1
13,-1108,287,10,-25,-30
-12,-1125,275,28,-29,-63
-9,-1144,228,40,-23,-89
-50,-1210,197,57,-2,-114
-109,-1213,169,78,-5,-143
-142,-1198,151,79,-11,-168
-142,-1216,121,76,-13,-191
-151,-1205,115,79,-1,-207
-188,-1184,129,78,7,-217
-204,-1150,138,81,0,-222
-175,-1099,129,85,-1,-219
-180,-1011,152,82,0,-213
-146,-934,160,62,2,-187
-125,-888,192,52,11,-154
-127,-802,220,38,9,-126
-111,-751,240,18,0,-92
-63,-708,244,6,1,-51
-41,-689,262,-17,15,-13
-68,-710,286,-34,22,25
-80,-716,294,-50,16,64
-72,-770,286,-71,10,103
-47,-848,265,-88,15,140
-59,-937,264,-100,30,164
-120,-986,280,-105,34,181
-172,-1058,296,-116,20,197
-197,-1114,289,-112,-7,210
-181,-1169,255,-113,-32,216
-144,-1226,220,-98,-46,213
-113,-1229,187,-91,-50,199
-78,-1251,169,-78,-42,183
-31,-1194,164,-64,-27,164
0,-1182,179,-59,-1,141
-10,-1142,217,-43,15,116
-23,-1090,257,-41,11,84
-36,-1073,282,-38,-12,50
7,-1027,268,-25,-29,20
16,-1005,275,-22,-20,0
20,-1015,266,-11,-12,-16
13,-1049,268,-2,4,-32
-27,-1057,281,15,3,-56
-36,-1051,269,15,-3,-79
-56,-1128,251,13,-3,-101
-104,-1174,241,29,-1,-123
-129,-1165,220,40,-14,-143
-122,-1184,199,39,-15,-165
-151,-1172,192,43,-22,-189
-153,-1180,188,37,-22,-207
