accX,accY,accZ,gyroX,gyroY,gyroZ
-1961,-793,586,358,436,-102
-1961,284,1107,74,-436,-93
-1496,256,-546,-436,-436,-136
-446,-725,-1425,-436,-436,-436
-376,-1094,-1552,-198,-436,-436
1,-32,-1766,110,-436,-436
1448,-262,-1472,-178,-436,-436
1627,-1272,-1321,162,166,-144
1516,-296,-1864,436,436,436
618,279,-1961,357,436,436
-578,-563,-1833,-14,436,366
-1387,-1276,-645,6,436,182
-1523,-1161,433,155,436,28
-1961,-709,1146,84,83,-70
-1497,-343,430,-248,-436,-169
-682,-722,-561,-433,-436,-363
-52,-972,-1074,-205,-436,-436
295,-622,-961,-12,-436,-436
769,-675,-680,-15,-436,-312
847,-927,-440,81,-154,-71
582,-779,-353,171,258,144
257,-656,-273,114,436,235
-204,-771,-67,8,436,227
-290,-867,116,-79,354,170
-174,-1000,136,-149,217,145
-103,-1138,143,-125,136,152
-21,-1095,134,-72,83,150
-27,-1135,110,-57,37,127
-2,-1298,14,-43,7,110
66,-1220,4,44,-11,125
193,-857,78,81,-19,118
269,-677,104,22,-8,57
199,-770,109,-85,28,-29
53,-1108,46,-152,65,-66
-87,-1295,108,-92,69,-18
-85,-1075,216,-16,17,34
15,-905,231,15,-60,19
159,-780,187,13,-93,-28
187,-821,128,-23,-61,-54
165,-995,67,-23,0,-27
135,-1098,47,5,56,25
120,-1130,79,14,72,40
149,-1147,91,21,67,15
172,-1128,68,39,68,-29
135,-1119,51,51,76,-77
2,-1166,33,41,68,-113
25,-1086,43,78,49,-109
7,-919,65,75,30,-127
26,-975,11,49,8,-157
2,-1066,-56,52,15,-160
-34,-1099,-96,67,21,-152
-45,-1029,-90,72,26,-140
-52,-924,-53,54,29,-125
-63,-855,-12,30,27,-108
-78,-801,15,12,25,-80
-92,-772,43,-5,27,-35
-104,-792,81,-21,21,16
-97,-800,114,-18,-3,60
-96,-813,135,-31,-36,84
-100,-907,80,-35,-85,100
-11,-938,-7,-23,-115,123
51,-969,-58,-35,-105,143
72,-1006,-70,-48,-81,158
-46,-1193,-87,-98,-79,152
17,-1250,-105,-40,-92,187
129,-952,-27,-32,-90,202
217,-911,23,-102,-63,184
168,-1021,76,-157,-27,164
116,-1195,79,-197,-17,152
139,-1346,85,-163,-19,149
200,-1230,140,-87,-16,132
206,-1107,176,-58,-30,74
224,-1105,154,-45,-46,0
176,-1113,146,-26,-40,-53
130,-1093,141,-21,-44,-84
205,-1075,117,-16,-28,-91
241,-1076,109,-7,34,-93
198,-1106,96,14,101,-92
131,-1105,77,46,152,-84
