accX,accY,accZ,gyroX,gyroY,gyroZ
-7,-719,-82,25,-107,-169
19,-703,-82,-9,-37,-136
-25,-776,-64,-20,49,-83
-131,-748,-13,-19,105,-25
-231,-767,33,-37,109,23
-311,-871,32,-92,76,65
-297,-810,47,-112,27,102
-325,-890,11,-205,-20,119
-300,-1024,-61,-250,-58,144
-246,-1120,-113,-314,-48,175
-236,-1170,-71,-340,-16,207
-296,-1271,42,-338,-26,203
-316,-1277,156,-242,-124,152
-281,-1283,99,-149,-255,69
-263,-1315,-59,-70,-372,-23
-218,-1194,-174,-29,-436,-93
-125,-992,-212,-32,-436,-123
19,-805,-209,-79,-435,-118
133,-786,-153,-123,-327,-83
149,-873,-90,-112,-193,-28
125,-887,-39,-54,-69,38
73,-876,-4,-13,25,95
41,-837,18,-3,76,125
26,-842,35,-44,93,120
53,-927,65,-115,98,97
114,-1178,87,-146,115,54
125,-1452,105,-101,151,-10
-23,-1305,150,5,166,-85
-207,-1443,98,77,122,-135
-215,-1290,3,150,56,-151
-15,-1132,-107,168,32,-148
121,-1101,-218,141,105,-159
-37,-1284,-282,152,184,-204
-244,-1109,-231,190,193,-178
-238,-912,-103,137,99,-129
-63,-934,-86,50,12,-142
36,-1002,-123,47,-11,-160
38,-975,-136,85,0,-161
39,-852,-153,113,17,-151
24,-783,-159,105,40,-135
16,-738,-147,86,67,-105
-3,-657,-100,51,104,-67
-71,-636,-21,9,137,-20
-155,-612,33,-15,148,33
-222,-674,43,-46,130,92
-240,-706,-12,-92,108,153
-280,-978,-67,-145,91,203
-305,-967,-77,-180,70,233
-348,-1155,-123,-286,43,251
-375,-1322,-118,-323,2,256
-324,-1432,-127,-325,-54,237
-233,-1407,-36,-277,-93,192
-189,-1303,52,-199,-154,122
-121,-1133,66,-125,-216,43
-111,-1024,49,-104,-254,-18
-138,-1088,-6,-73,-287,-54
-87,-1000,-75,-22,-305,-61
15,-914,-104,-20,-281,-52
125,-835,-93,-29,-221,-37
182,-811,-68,-59,-132,-33
170,-907,-42,-79,-34,-26
129,-1006,8,-70,48,-22
52,-1075,38,-28,101,-36
-28,-1059,62,17,119,-67
-82,-1003,69,37,114,-96
-86,-994,40,31,112,-110
-111,-1080,0,24,133,-116
-207,-1232,-42,29,144,-115
-234,-1225,-27,68,106,-120
-105,-1075,-31,40,96,-126
-110,-1267,-69,58,116,-121
-120,-1217,-111,136,127,-120
-138,-1048,-85,148,125,-124
-176,-970,-39,130,90,-127
-168,-923,-28,105,39,-128
-130,-880,-22,82,-2,-123
-82,-810,-20,57,-18,-103
-46,-796,-15,41,-19,-71
-22,-771,-1,35,-11,-41
