accX,accY,accZ,gyroX,gyroY,gyroZ
-194,-891,-375,186,-7,-371
-5,-615,-420,195,41,-238
9,-431,-274,82,30,-184
22,-529,-237,-23,90,-106
-4,-646,-163,-50,86,-63
-31,-642,-133,-49,83,-19
-48,-698,-124,-71,54,12
-49,-762,-141,-73,14,35
-34,-815,-213,-94,-29,46
-87,-1020,-370,-141,-72,52
-122,-1287,-520,-109,-116,79
65,-995,-464,-24,-128,153
288,-767,-348,-61,-84,204
400,-729,-233,-94,2,194
334,-767,-161,-107,77,139
127,-1019,-217,-133,92,72
-60,-1414,-309,-50,29,0
-136,-1261,-340,65,-94,-74
-29,-1117,-418,109,-208,-154
80,-828,-445,155,-242,-217
146,-530,-429,92,-212,-221
142,-497,-360,-22,-140,-144
105,-726,-307,-66,-74,-48
61,-892,-262,-12,-38,11
12,-895,-227,40,-59,25
5,-896,-248,60,-120,-1
5,-896,-311,62,-195,-57
33,-863,-438,43,-252,-109
27,-984,-621,-4,-276,-141
-24,-1356,-734,-12,-286,-162
111,-900,-602,197,-274,-151
304,-367,-463,114,-224,-124
300,-405,-319,-131,-150,-144
225,-817,-242,-273,-91,-143
110,-1112,-114,-155,-72,-175
-8,-980,-61,-48,-92,-221
10,-1307,152,36,-33,-100
-106,-1593,68,412,26,-22
-314,-960,-106,436,-99,-69
-427,-536,-58,353,-335,-115
-217,-415,-217,124,-436,-135
13,-491,-450,-15,-436,-61
323,-680,-607,-92,-436,14
296,-868,-632,-44,-303,123
158,-1036,-501,-3,-179,214
98,-953,-455,46,-194,206
192,-777,-464,-22,-243,162
325,-784,-516,-177,-241,122
383,-1146,-568,-290,-198,76
431,-1204,-394,-162,-116,22
338,-851,-158,-125,-38,-32
131,-979,-77,-146,-48,-104
-53,-1208,-184,-72,-123,-171
-88,-1210,-352,37,-207,-184
11,-1083,-418,118,-261,-182
117,-813,-389,157,-284,-216
93,-613,-352,74,-297,-277
49,-619,-364,-40,-304,-314
38,-764,-374,-74,-280,-276
77,-795,-381,-18,-226,-194
103,-702,-367,21,-157,-101
77,-669,-326,29,-101,-18
64,-601,-267,21,-82,44
79,-569,-293,-45,-82,84
48,-904,-342,-147,-94,114
180,-989,-442,-73,-80,155
188,-996,-474,-139,-52,174
270,-1225,-549,-170,-9,189
370,-1192,-414,-123,68,201
432,-988,-214,-92,147,149
320,-832,-27,-119,219,66
88,-892,87,-147,219,5
-44,-1111,52,-92,167,-3
-82,-1264,-332,115,284,91
-706,-792,-661,352,436,309
-1027,-395,-323,188,427,420
-431,-1037,3,50,157,359
-361,-1288,85,-12,-214,0
-24,-1253,-416,203,-414,-293
