accX,accY,accZ,gyroX,gyroY,gyroZ
476,1961,-822,436,-22,272
621,127,541,-436,183,81
-218,-1961,1961,101,43,17
201,371,869,171,81,-68
-23,-411,1000,-114,46,-103
-315,-573,1472,16,60,-67
-184,-202,1135,6,-1,-26
-175,-444,1234,-51,24,-7
-309,-613,1493,-26,19,-2
-249,-462,1444,-21,22,7
-347,-523,1597,-50,25,31
-281,-476,1434,-47,-15,59
-107,-436,1201,-39,10,43
-178,-329,1153,-31,22,13
-46,-165,923,26,9,0
19,156,682,60,14,2
104,178,578,-2,-19,12
120,30,630,-35,-39,0
53,-380,981,-114,40,-71
-394,-758,1669,-139,112,-86
-459,-404,1443,-139,9,-19
-286,-218,884,-335,-130,17
-98,-229,349,-436,-217,24
-6,-560,65,-436,-237,5
206,-1102,3,-436,-172,-50
306,-1359,106,-436,-8,-85
218,-1168,229,-373,170,-81
7,-1018,334,-176,266,-44
-91,-970,318,-46,241,-1
-105,-1204,145,-74,141,2
122,-1820,-66,-136,21,-76
608,-1961,-230,-147,-55,-265
666,-1961,-141,62,-28,-436
973,-1961,-142,391,245,-432
651,-1961,126,436,303,-412
668,-944,446,436,227,-436
470,-1181,552,436,302,-436
-87,-827,419,436,259,-436
-407,279,158,436,133,-436
-474,140,197,436,-3,-436
-424,555,-120,436,-93,-425
-185,394,-170,436,-99,-332
-40,584,-548,436,-40,-309
-45,1068,-758,360,31,-292
-193,1164,-555,197,74,-206
-180,1051,-371,105,40,-126
-57,1181,-330,18,79,-58
68,970,-70,-94,101,-11
19,573,151,-49,164,-102
-109,836,258,-83,197,-135
-413,800,728,-231,222,-108
-365,406,1129,-413,230,-23
-415,110,1788,-436,341,58
11,507,1961,-229,220,149
648,1177,1791,-100,44,233
544,-531,658,31,-25,-138
-386,748,172,140,141,-266
-671,1258,773,-155,28,-41
-141,566,1024,-34,-70,124
89,741,754,-19,-75,53
17,525,878,3,-62,-36
-171,739,972,-8,-108,-39
-22,646,861,-96,-152,-57
-33,584,925,-140,-133,-19
35,649,692,-310,-159,33
160,351,613,-436,-154,-15
-36,206,634,-436,-126,13
77,-249,716,-436,-176,90
113,-124,812,-430,-194,108
43,236,771,-436,-233,124
86,-15,756,-436,-319,190
495,-130,643,-436,-306,253
482,-555,789,-436,-221,285
474,-839,975,-436,-239,248
767,-937,889,-358,-159,297
435,-1093,957,-225,-61,326
589,-939,871,-199,-117,266
899,-1328,666,-308,35,294
252,-1402,857,-221,147,277
