accX,accY,accZ,gyroX,gyroY,gyroZ
344,-978,932,-267,79,90
198,-518,1280,125,71,41
262,-669,1043,22,1,23
227,-446,1027,-51,-31,0
202,-564,1199,-54,-28,-20
94,-388,1180,-30,-14,-43
11,-299,1131,-43,-7,-35
35,-318,1162,-49,-16,-3
58,-254,1173,-47,-6,8
87,-293,1181,-47,-20,21
143,-297,1176,-45,-27,29
173,-352,1156,-29,-28,16
164,-210,1036,-21,-33,7
202,-279,1047,-80,-49,0
288,-580,1165,-65,-60,-17
287,-352,1045,-56,-99,-42
396,-351,988,-160,-147,-60
558,-764,1270,-255,-230,-112
779,-854,1287,-199,-206,-175
931,-933,1116,-213,-166,-218
1032,-958,1052,-171,-129,-220
1023,-581,984,-223,-143,-166
1422,-1210,1019,-302,-218,-213
1750,-1210,737,-84,-66,-351
1315,-503,786,-45,63,-391
1342,-552,745,-113,-10,-422
1437,-497,704,-127,25,-436
1156,-616,729,-49,109,-436
731,-613,775,125,175,-436
316,-428,642,371,225,-436
-166,102,421,436,136,-436
-168,794,-13,436,-6,-436
163,1037,-277,317,10,-401
91,817,-15,144,84,-339
138,717,37,141,128,-284
-32,801,145,71,143,-247
-2,695,272,-2,96,-154
33,727,412,-30,43,-64
135,645,458,-77,93,-76
-86,689,584,-107,114,-42
5,592,661,-130,69,65
131,572,699,-143,88,69
128,570,694,-119,126,20
-57,889,786,-161,162,-26
-82,661,929,-127,107,28
43,889,868,-65,64,62
113,783,828,-45,13,60
229,941,694,9,-14,19
96,852,679,-19,-5,-57
-75,853,687,5,-9,-68
-148,943,711,16,-37,-12
-18,877,731,26,-55,19
37,903,702,57,-67,18
120,905,692,64,-77,-1
73,799,786,89,-78,-10
109,837,715,109,-120,4
184,809,724,85,-133,-4
148,842,612,70,-134,4
139,854,508,-18,-131,18
141,675,463,-130,-115,52
132,462,482,-108,-92,107
131,457,513,-82,-109,101
211,492,356,-24,-89,105
194,776,207,-2,-44,122
76,820,230,-132,-30,153
73,643,286,-169,-42,209
141,721,264,-175,-6,269
122,680,360,-250,15,340
145,529,446,-322,2,413
301,291,555,-388,-29,436
416,59,618,-412,-59,436
531,-310,754,-436,-149,436
1196,-777,660,-436,-157,436
1142,-1055,766,-337,-58,436
1192,-1240,814,-258,-117,436
1769,-1363,434,-128,-137,379
1526,-995,370,-45,100,268
923,-751,537,-115,227,208
213,-804,1032,-205,122,253
