accX,accY,accZ,gyroX,gyroY,gyroZ
-327,-264,654,348,-76,134
-312,-220,687,339,-91,149
-149,76,588,185,-102,153
-151,-77,640,42,-95,142
-63,-251,646,-125,-72,88
-191,-713,903,-124,15,52
-363,-737,1071,-79,6,10
-169,-654,863,-29,-6,-42
-152,-438,769,-62,-1,-107
-84,-372,752,-114,4,-129
-174,-392,849,-180,1,-151
-152,-425,758,-203,-11,-178
0,-402,626,-215,31,-189
-201,-422,641,-355,83,-194
-276,-828,659,-436,61,-185
-284,-805,496,-436,44,-201
-380,-1613,505,-436,-27,-191
20,-1511,447,-436,43,-103
-7,-1407,-60,-436,164,-115
-52,-1961,159,-276,245,-20
125,-1119,83,20,401,63
-120,-892,141,24,436,82
-779,-1146,671,21,325,53
-407,-896,158,107,192,65
-185,-909,125,-61,96,81
324,-1541,224,-89,-12,54
523,-1836,413,-37,-56,-153
662,-1961,441,193,-75,-277
793,-1961,347,420,66,-291
545,-1899,591,436,131,-324
416,-1684,766,436,95,-357
419,-1576,820,436,37,-344
463,-1254,668,436,1,-370
516,-957,594,436,9,-386
509,-730,488,436,74,-346
403,-413,439,436,98,-301
473,9,312,436,125,-241
405,229,228,436,226,-215
84,546,330,436,220,-126
131,513,393,382,145,-109
171,438,189,301,213,-125
-116,444,168,197,258,-95
-278,640,357,-3,260,-83
-345,491,472,-238,228,-22
-480,83,997,-330,204,29
-423,383,1475,-68,34,175
195,768,1038,-21,-146,262
621,218,485,-97,-110,71
358,540,621,-1,86,-14
-56,686,896,-54,57,-58
3,764,990,-47,6,-20
-16,762,1116,-34,-49,13
73,767,1268,-63,-135,67
407,478,1368,-47,-188,78
395,640,1224,-25,-216,6
448,432,824,-224,-202,-86
523,220,574,-270,-133,-133
401,302,435,-436,47,-143
-161,-335,811,-436,22,-179
147,-47,635,-334,-57,-221
56,242,695,-266,21,-106
195,341,595,-205,38,-92
-236,723,879,-370,125,-61
-342,242,1129,-436,-69,40
-68,139,1015,-436,-129,108
7,-228,1346,-436,-214,193
333,-1396,1339,-436,-378,149
845,-1002,991,-30,-202,194
588,-553,1123,-89,-21,258
288,-657,1145,-191,-8,225
182,-641,928,-248,-65,269
444,-969,704,-434,-108,263
477,-1361,682,-355,-29,180
247,-1043,522,-191,56,99
-62,-811,461,-300,75,79
-332,-1068,350,-436,-54,76
-277,-1395,33,-436,-221,92
33,-1511,-219,-436,-296,135
421,-1565,-353,-401,-176,172
