accX,accY,accZ,gyroX,gyroY,gyroZ
27,-1404,494,436,-75,-69
137,-449,-70,436,118,-91
-239,130,-122,436,168,37
257,193,-219,436,-164,15
317,397,560,-356,1,-101
-61,-1932,1348,-304,29,-77
93,-884,916,408,63,-21
-88,386,881,200,88,6
-47,-223,1174,-264,-79,20
368,-800,1067,-19,-31,15
258,-324,1140,14,-10,-33
288,-405,1193,-33,-56,-71
383,-433,1427,-40,-218,-67
900,-672,1303,-81,-311,-163
884,-961,1515,-97,-253,-289
1043,-1120,1534,80,-275,-395
1021,-435,1391,81,-242,-436
812,-493,1444,7,-275,-436
1070,-313,1138,54,-272,-436
1048,-120,1206,-7,-231,-436
944,-408,1108,21,-197,-436
786,-282,915,82,-95,-436
575,-317,859,98,55,-436
-133,-398,724,223,163,-436
-882,-9,464,436,126,-435
-1058,684,133,436,-130,-119
-560,1166,-254,311,-263,33
63,691,-391,-60,-197,83
292,521,-362,46,-6,-61
15,1110,-334,174,101,-60
1,1191,-414,10,36,-85
176,914,-512,31,58,-146
-46,1166,-414,66,115,-151
-131,1410,-321,-41,58,-64
51,1024,-284,-109,13,-56
49,1252,-151,-113,51,0
136,1170,151,-270,49,-10
156,699,405,-336,64,-64
200,469,578,-247,129,-59
-112,401,745,-317,219,-132
-485,166,989,-436,234,-117
-416,-358,1284,-436,108,-9
-138,-88,1929,129,39,137
453,1123,1249,334,-85,148
378,651,656,-33,-14,-138
-160,447,807,156,33,-155
-585,1205,1136,189,-46,-47
-261,897,961,58,-169,118
207,1150,682,36,-102,149
-116,461,1248,-279,-216,85
579,63,741,35,-137,4
147,690,515,324,114,19
-282,1192,503,56,19,-83
-224,609,468,-49,-57,-37
-35,732,185,217,-47,9
-140,1379,148,121,40,10
-369,1708,431,-34,-60,201
-195,813,513,-240,-347,264
354,245,-295,155,-344,207
244,722,-1003,436,-21,48
-515,1846,-895,203,255,-234
-568,1796,-248,-284,84,39
-7,478,-44,-436,-94,201
349,-34,-93,-325,6,284
142,413,10,-183,158,333
-112,578,237,-436,131,331
174,130,366,-436,54,354
154,-379,731,-436,134,425
167,-446,911,-186,22,377
588,222,677,-121,77,425
110,-73,1132,-376,-5,377
812,-258,806,-436,-137,376
485,-920,1164,-436,-96,371
1060,-1021,815,-205,-180,242
813,-492,771,-134,90,289
235,-698,890,-414,-45,299
364,-1153,517,-436,-105,344
109,-1961,299,-436,-306,400
182,-1961,46,-341,-416,391
