accX,accY,accZ,gyroX,gyroY,gyroZ
237,-1063,-739,-358,-155,-149
132,-1162,-727,-410,-190,-118
295,-1089,-701,-377,-121,-94
172,-1053,-454,-357,-22,-75
32,-882,-164,-297,25,-52
168,-619,-3,-262,38,-18
128,-611,197,-268,17,-3
260,-590,201,-178,16,-19
157,-284,277,-135,0,-21
245,-218,197,-146,-38,-15
209,-437,402,59,37,15
203,-82,212,26,-39,8
94,-474,262,159,-23,42
154,-418,46,280,-49,67
118,-394,-175,309,-68,62
95,-585,-290,278,-96,75
46,-969,-510,287,-107,103
204,-1087,-841,357,-109,104
159,-1031,-917,292,-42,101
199,-1372,-1108,277,-61,85
312,-1246,-1353,225,-52,54
393,-1320,-1594,123,-9,49
468,-1205,-1644,49,23,14
450,-1035,-1524,-157,51,-48
397,-1313,-1385,-259,92,-90
239,-1208,-1201,-302,141,-121
197,-1179,-1011,-329,179,-133
47,-1028,-706,-389,201,-148
-7,-986,-257,-364,170,-149
150,-757,0,-296,176,-140
15,-550,299,-266,171,-138
-32,-398,519,-191,93,-103
98,-530,927,15,135,36
-234,203,640,229,67,-11
27,312,280,-106,-133,-25
80,-785,398,65,-122,121
369,-299,-19,301,-101,170
148,-413,-30,186,-67,109
-48,-656,0,167,-128,149
-91,-1098,-202,210,-186,187
354,-1147,-605,317,-191,137
-83,-1145,-602,194,-114,114
-48,-1906,-1210,315,-200,131
576,-977,-1537,330,-83,117
184,-1434,-1277,19,-54,78
644,-1408,-1679,115,-98,23
636,-882,-1551,-92,48,-39
398,-1231,-1291,-215,49,-78
385,-1204,-1244,-267,75,-114
223,-1112,-1169,-287,142,-139
37,-1068,-893,-384,146,-130
56,-1137,-502,-404,134,-132
135,-1034,-189,-332,121,-158
83,-700,59,-276,153,-148
-70,-567,388,-261,101,-119
91,-418,359,-163,47,-67
211,-267,417,-170,30,-47
374,-848,871,-1,160,0
-224,-48,636,152,0,-15
263,-538,448,117,-83,46
375,-686,268,264,-5,42
-52,-754,114,353,-9,73
116,-748,-193,346,-37,130
117,-1240,-320,318,-42,143
120,-1175,-439,387,25,137
-256,-1323,-416,343,-63,178
374,-1366,-628,313,-77,205
178,-1563,-489,304,109,187
80,-1307,-355,331,107,200
212,-1299,-243,253,171,221
97,-1308,-121,253,281,230
-104,-1253,-8,256,308,269
-108,-1173,77,230,261,305
-36,-1126,161,133,201,291
-31,-1112,256,6,122,230
-42,-1191,333,-92,15,146
9,-1194,337,-135,-87,51
44,-1157,308,-145,-131,-20
56,-1117,295,-126,-136,-62
