accX,accY,accZ,gyroX,gyroY,gyroZ
523,-866,-786,-327,-89,-241
479,-776,-636,-320,-45,-195
251,-690,-340,-325,-9,-160
295,-679,-162,-313,-37,-122
292,-684,3,-232,11,-80
155,-540,165,-142,15,-48
169,-420,232,-103,-14,-23
266,-399,268,-50,-12,8
275,-369,326,18,12,38
241,-368,319,69,0,54
271,-469,176,117,-23,68
302,-587,-76,194,-32,84
263,-659,-450,282,-62,101
477,-529,-877,359,-96,135
622,-453,-1169,317,-91,146
729,-535,-1496,245,-96,118
902,-452,-1753,231,-79,86
875,-212,-1730,121,-14,54
833,-238,-1605,-33,27,22
760,-308,-1354,-131,53,-7
675,-399,-1179,-194,65,-39
589,-482,-1143,-217,57,-57
590,-488,-1130,-246,66,-66
532,-543,-1007,-290,81,-81
393,-583,-817,-309,81,-86
461,-605,-592,-300,70,-78
331,-608,-285,-274,91,-75
259,-582,-10,-208,71,-55
249,-487,190,-134,47,-34
253,-452,276,-71,35,-18
239,-419,298,7,25,4
243,-364,281,69,3,28
213,-418,152,119,-30,43
327,-452,-136,187,-76,61
398,-421,-376,228,-76,83
446,-468,-599,231,-99,87
613,-458,-906,269,-98,78
565,-311,-1254,294,-97,71
726,-174,-1615,238,-96,57
770,-152,-1786,124,-59,35
835,-158,-1766,11,-13,16
769,-166,-1538,-110,33,-5
711,-310,-1269,-212,49,-35
638,-452,-1153,-225,52,-53
626,-448,-1052,-242,62,-63
552,-509,-854,-273,70,-75
482,-549,-637,-270,60,-79
406,-499,-386,-239,72,-71
306,-468,-185,-200,74,-61
251,-390,-50,-142,46,-34
328,-322,27,-93,40,-10
346,-304,91,-45,46,3
332,-248,133,20,37,19
352,-204,94,60,3,24
374,-247,-68,101,-25,22
492,-293,-309,151,-45,30
469,-237,-397,173,-36,37
492,-328,-589,159,-58,32
581,-371,-695,176,-37,37
574,-347,-680,163,-5,44
563,-447,-630,144,22,51
566,-498,-548,165,55,75
613,-570,-555,180,101,105
606,-687,-579,218,148,130
452,-709,-569,260,120,149
572,-635,-541,238,82,148
551,-693,-460,155,78,134
522,-862,-431,135,40,134
563,-803,-370,141,39,136
516,-844,-320,97,47,133
516,-963,-314,97,38,137
512,-879,-236,101,51,122
412,-886,-141,56,67,105
368,-987,-124,57,63,109
332,-953,-94,73,68,110
288,-946,-50,50,76,109
248,-993,-19,35,77,120
236,-989,1,30,69,123
223,-1008,49,4,69,129
