accX,accY,accZ,gyroX,gyroY,gyroZ
754,-1350,-1961,-436,-14,-349
260,-1484,-1449,-436,288,-250
-231,-1503,-804,-436,317,-241
-387,-1335,-59,-436,192,-228
-190,-1281,364,-423,58,-180
-35,-711,382,-150,29,-99
6,-320,429,-66,36,-24
46,-287,500,-33,43,31
121,-196,419,52,-13,53
293,-161,367,85,-66,54
360,-279,291,155,-92,31
227,-492,143,239,-107,18
199,-587,-181,383,-195,27
355,-505,-562,413,-125,111
27,-1230,-1159,436,-221,92
852,-585,-1961,436,-115,219
1098,-279,-1961,436,81,219
834,-184,-1961,180,7,52
976,-43,-1961,-116,-106,-21
1137,-332,-1961,-286,-27,-28
908,-462,-1865,-403,80,-74
574,-682,-1545,-436,100,-118
402,-620,-1142,-436,117,-114
298,-729,-698,-436,133,-111
282,-700,-299,-421,176,-90
137,-492,87,-330,236,-67
-147,-1073,1533,-247,256,-57
-367,-614,327,314,168,100
-11,566,240,308,-86,59
253,110,188,-126,-117,26
244,-591,234,6,-76,65
295,-411,106,237,-84,112
172,-587,-12,217,-119,110
328,-877,-375,290,-179,100
306,-1120,-664,365,-109,143
138,-1752,-1255,436,-276,59
547,-1139,-1961,436,-301,-9
944,-408,-1961,436,-72,63
797,144,-1961,268,29,87
684,-193,-1961,-321,-56,-4
881,-698,-1961,-436,-50,-17
754,-775,-1961,-436,65,-46
479,-800,-1690,-436,129,-73
352,-848,-1327,-436,161,-74
299,-1103,-880,-436,192,-82
160,-971,-347,-436,204,-95
110,-637,22,-353,150,-82
155,-454,178,-274,105,-72
288,-710,1041,-208,198,-31
-249,-429,364,267,248,90
-33,504,512,249,6,14
220,33,338,-54,-56,22
356,-573,175,141,12,105
413,-489,-154,367,80,225
279,-481,-309,331,102,289
279,-769,-476,267,29,389
428,-867,-711,309,119,436
222,-1441,-833,295,88,436
622,-987,-845,316,19,436
631,-986,-835,100,172,436
332,-1396,-702,122,259,436
456,-1148,-622,136,294,436
249,-1177,-403,-22,355,436
-105,-1368,-119,-136,206,359
-42,-1368,-126,-139,2,218
13,-1174,-133,-163,-152,70
155,-1047,-249,-225,-269,-55
343,-1043,-330,-265,-269,-97
423,-1155,-339,-198,-162,-78
399,-1148,-338,-47,-8,-20
254,-1121,-291,83,144,47
-91,-943,-259,165,197,35
-308,-743,-190,104,118,11
-228,-771,-170,-11,14,12
-42,-960,-305,-13,14,-1
-119,-924,-272,48,57,-31
-189,-806,-273,58,52,-50
-263,-819,-300,55,42,-72
-292,-695,-284,36,-2,-83
