accX,accY,accZ,gyroX,gyroY,gyroZ
586,-1029,-770,-376,-11,-316
271,-1100,-591,-382,-10,-333
43,-782,-433,-419,-179,-337
141,-667,-449,-436,-373,-290
401,-817,-493,-436,-400,-236
525,-803,-357,-361,-257,-149
976,-865,-873,-152,-92,42
-210,-336,65,289,76,-52
297,131,-235,136,-81,19
529,-224,-335,-48,7,42
430,-589,-313,104,104,61
513,-431,-451,294,163,98
606,-359,-567,297,250,132
583,-462,-540,298,326,165
344,-539,-341,292,286,188
468,-708,-335,264,133,193
565,-792,-384,266,129,208
557,-944,-278,282,76,215
687,-892,-334,281,113,199
582,-801,-199,210,192,202
371,-1004,-45,121,175,220
388,-1137,10,134,17,184
642,-960,-75,70,-82,137
752,-1086,-102,14,-20,122
719,-1098,-82,43,-16,74
760,-947,-99,14,-34,24
816,-976,-152,-50,-37,-13
829,-1050,-209,-69,-42,-77
883,-918,-333,-137,-61,-145
771,-987,-350,-235,-71,-209
771,-991,-462,-303,-106,-260
723,-1022,-553,-338,-88,-276
562,-946,-524,-364,-103,-287
525,-867,-568,-388,-118,-273
393,-797,-536,-390,-110,-221
231,-748,-433,-357,-184,-205
307,-425,-391,-381,-283,-163
303,-409,-140,-426,-245,-69
837,-698,-607,-390,-436,-80
861,-937,-132,134,162,-25
-41,-122,-93,332,154,-28
225,156,-258,116,-39,13
536,-356,-383,-18,-23,17
566,-621,-415,175,163,57
397,-501,-378,324,247,116
522,-501,-456,341,246,137
398,-618,-404,307,256,165
381,-918,-308,319,109,174
681,-917,-472,372,113,180
455,-928,-298,318,145,212
603,-1070,-323,295,98,205
632,-946,-249,262,158,203
645,-1080,-191,202,214,216
411,-1058,-25,200,199,207
466,-975,19,134,53,173
698,-968,-45,38,-30,123
771,-1028,-76,-34,-53,64
850,-1011,-149,-79,-68,-10
877,-1018,-222,-160,-73,-82
898,-1104,-338,-234,-74,-148
894,-1108,-434,-288,-65,-223
775,-1121,-488,-377,-52,-275
714,-1221,-544,-395,-66,-301
625,-1093,-541,-385,-49,-312
357,-954,-414,-421,-112,-323
235,-765,-324,-436,-236,-307
238,-691,-299,-436,-307,-235
444,-671,-281,-395,-309,-165
573,-606,-157,-304,-129,-71
265,-690,360,-201,44,4
580,-930,42,30,51,43
282,-573,17,240,60,43
220,-563,-83,270,3,7
449,-618,-417,307,-24,-2
594,-673,-621,357,112,66
487,-681,-634,401,272,160
223,-907,-500,391,219,241
572,-1055,-663,436,120,238
523,-720,-498,395,152,217
