accX,accY,accZ,gyroX,gyroY,gyroZ
-232,-436,824,-337,254,-294
-333,-528,975,-297,233,-222
-295,-462,1061,-306,166,-188
-364,-620,1262,-329,101,-153
-214,-730,1385,-258,50,-95
-137,-598,1379,-254,47,-74
-444,-516,1640,-259,6,0
-411,-1451,1961,-206,-106,18
170,-374,1467,307,-154,32
432,107,1354,-271,-23,20
295,-1371,1668,-91,129,-19
-116,-461,1961,115,167,-30
-50,-964,1961,226,112,-10
7,-591,1961,382,172,1
47,-543,1918,417,175,8
53,-481,1748,436,229,-8
0,-234,1588,436,257,0
-93,-115,1527,427,257,29
-60,-19,1339,407,253,38
-101,35,1247,373,242,54
-78,276,954,347,276,55
-308,220,943,301,273,55
-348,383,679,304,265,83
-431,529,602,160,205,144
-335,295,620,158,182,179
-170,375,430,119,171,181
-327,370,437,96,223,178
-448,471,409,80,184,216
-343,467,386,32,140,264
-193,398,343,28,112,287
-53,394,268,27,125,282
-90,540,232,12,136,276
-76,457,309,2,102,305
147,481,197,-6,87,319
64,503,268,-39,109,329
134,361,326,-58,24,379
435,288,258,-43,23,398
436,200,299,-71,71,377
480,40,406,-33,55,382
641,94,399,-57,52,374
623,-170,486,-79,56,360
624,-51,454,-66,-2,386
703,-293,403,-134,-64,401
859,-497,300,-140,-99,384
966,-665,291,-116,-37,358
878,-712,199,-70,-52,326
952,-643,177,-107,12,307
832,-1033,319,-78,23,281
831,-744,318,-39,55,264
563,-1037,394,-56,68,266
735,-786,344,-42,58,295
504,-1170,475,-112,94,300
610,-1251,474,-45,48,309
681,-1273,459,-73,184,327
195,-1595,707,-67,193,307
468,-1384,631,-18,87,307
444,-1526,577,-46,107,297
238,-1414,552,-21,37,281
462,-1288,436,-72,16,288
518,-1392,482,-94,46,292
590,-1579,577,-143,-36,263
1357,-1749,346,-44,-9,212
1961,-1961,509,-145,189,122
637,-1961,345,107,257,-99
438,-1040,34,197,148,-247
213,-1169,27,0,251,-276
138,-1202,-64,83,334,-249
118,-1035,-188,59,436,-238
-39,-1114,-202,58,436,-207
-279,-1046,-79,94,436,-176
-378,-915,89,102,436,-145
-346,-779,219,74,432,-113
-255,-742,290,2,304,-96
-179,-786,310,-42,220,-84
-86,-789,291,-63,180,-72
-109,-820,305,-80,174,-57
-172,-861,332,-90,149,-40
-163,-923,313,-119,122,-19
-122,-1029,317,-133,133,10
