accX,accY,accZ,gyroX,gyroY,gyroZ
32,332,1197,-229,88,-174
159,106,1269,-137,-16,-163
296,349,1249,-52,63,-108
76,262,1471,-88,27,-101
358,191,1418,-15,15,-93
223,382,1388,37,134,-74
-77,412,1515,-8,145,-66
-185,167,1680,-22,115,-61
-157,5,1716,47,104,-23
-269,0,1650,118,117,1
-304,78,1523,167,93,19
-262,172,1414,170,91,14
-368,194,1382,168,118,11
-422,198,1274,220,111,32
-407,433,1141,240,145,27
-571,436,1127,209,130,47
-454,499,1058,220,124,73
-513,507,1026,210,132,80
-514,627,965,217,117,105
-506,636,904,183,103,125
-467,652,821,210,91,157
-374,759,675,177,101,168
-327,747,646,152,120,166
-330,717,651,132,138,176
-249,756,596,120,124,199
-212,656,551,78,98,213
-64,576,468,96,73,234
-9,614,393,70,76,226
41,538,361,48,46,229
163,520,322,68,50,233
201,535,266,80,49,222
220,563,223,65,40,214
294,503,190,58,28,216
329,536,170,49,28,222
410,450,188,31,6,226
491,382,143,40,10,225
550,318,115,45,24,219
589,299,73,47,24,218
615,229,67,27,42,203
665,167,77,24,64,190
587,112,105,13,54,197
667,79,58,-2,39,207
679,3,78,-59,56,200
678,-171,184,-49,60,214
692,-157,193,-33,52,226
697,-269,214,-79,42,222
754,-402,268,-66,31,250
776,-495,265,-59,26,254
833,-588,239,-57,23,251
939,-614,261,-59,59,275
756,-752,287,-118,33,270
932,-888,156,-133,-22,289
1118,-990,143,-137,18,308
888,-1159,124,-153,22,263
906,-1212,13,-127,-2,263
864,-1214,-3,-103,-9,282
781,-1208,-80,-115,-14,273
964,-1232,-88,-119,-1,285
812,-1292,-15,-126,27,269
863,-1277,-39,-106,44,255
905,-1164,-21,-85,110,283
747,-1187,66,-123,129,262
700,-1259,95,-117,111,223
711,-1259,143,-85,97,185
684,-1195,198,-52,87,153
665,-1146,160,-38,99,113
637,-1095,103,0,148,105
562,-1024,116,8,207,96
446,-1021,115,-2,241,76
346,-1029,100,10,255,63
229,-1000,105,18,244,51
174,-993,114,12,205,35
99,-1008,130,8,155,19
47,-1002,134,15,99,7
90,-968,105,19,47,-1
178,-967,47,27,54,1
175,-955,15,48,97,15
142,-930,21,54,135,29
26,-920,58,43,133,36
