accX,accY,accZ,gyroX,gyroY,gyroZ
106,-967,-328,436,282,-283
9,-814,-113,436,289,-235
-70,-691,-66,436,257,-187
-59,-306,-28,422,202,-155
-39,-177,110,200,182,-170
-113,-294,214,62,142,-184
-12,-314,300,-38,164,-124
-135,-554,627,-18,230,-65
-256,-412,756,-12,180,-57
-163,-387,830,-102,153,-35
-634,-634,1552,-104,58,-13
-44,-842,1058,-114,-282,-56
796,-506,950,143,167,38
638,-590,1132,-101,273,5
-96,-1260,1807,-40,436,-2
-698,-1465,1961,79,366,-124
-802,-1135,1961,320,216,-51
-938,-1051,1757,405,199,-44
-1126,-865,1412,436,178,-30
-1094,-552,1001,436,202,42
-1368,-471,1178,436,235,233
-1067,-627,1226,435,125,332
-429,-820,1019,436,111,343
-219,-362,862,436,212,353
-273,-142,887,380,252,373
-226,-134,666,348,267,436
-299,117,675,237,197,436
-3,-259,530,138,32,436
292,-149,274,200,93,436
66,-73,265,141,73,436
271,-257,-101,213,26,436
539,106,-463,234,97,436
639,11,-396,123,229,436
395,-14,-8,18,153,380
782,-104,-117,-40,108,317
614,-45,121,-33,230,331
408,-142,458,-94,168,339
573,-399,468,-89,100,363
772,-518,417,-81,93,382
871,-558,414,-82,132,382
805,-749,449,-128,141,363
673,-670,464,-72,190,329
381,-677,373,-225,119,391
611,-1084,233,-315,95,436
588,-1455,457,-379,160,436
387,-1961,692,-191,65,362
584,-1136,564,-65,15,327
454,-1696,423,-125,-31,287
510,-1069,214,-99,-59,239
278,-1568,277,-203,-21,296
446,-1304,172,-161,-56,314
465,-1549,67,-260,24,303
566,-1564,-73,-159,137,274
387,-1399,-44,-229,316,308
308,-1725,8,-65,396,332
67,-1401,52,86,430,246
-127,-1086,-45,102,354,166
47,-923,-246,84,418,213
-454,-1029,242,-50,356,95
-51,-1048,-126,55,272,130
-39,-983,-379,130,436,187
-664,-756,138,60,430,72
-591,-839,119,-12,278,113
-338,-951,-7,106,222,195
-104,-913,-233,175,326,218
-272,-909,-248,191,436,184
-588,-724,2,170,364,141
-438,-771,-18,60,196,104
-273,-958,-93,42,141,43
-332,-799,-76,48,130,-14
-432,-807,-8,13,86,-21
-328,-852,-32,17,25,-38
-203,-882,-129,4,-1,-78
-153,-874,-149,-3,15,-98
-187,-838,-122,-36,25,-83
-170,-866,-152,-44,18,-40
-94,-856,-109,-53,48,15
-147,-977,-49,-42,69,36
-196,-999,-25,37,66,77
