accX,accY,accZ,gyroX,gyroY,gyroZ
-776,-1263,1509,215,295,191
-709,-1139,1309,290,287,245
-463,-779,1012,288,289,284
-405,-751,911,195,246,324
-77,-643,679,226,229,309
-497,-512,699,162,226,299
2,-391,437,147,162,270
-475,-455,467,122,370,312
-1024,-176,772,194,142,282
-642,65,461,96,-35,341
-624,-156,522,93,-70,344
-80,74,203,154,3,312
-347,367,350,122,197,243
-644,495,486,30,123,219
-551,567,465,-23,62,255
-233,409,409,-5,79,262
-300,640,462,23,178,219
-482,758,560,-3,135,245
-393,715,580,-50,16,274
-180,687,496,-51,-18,296
-121,493,453,-56,-67,320
143,511,261,26,-128,283
259,701,177,0,-53,273
328,489,40,-13,-21,265
520,592,-100,38,59,212
253,833,-15,-22,94,198
315,713,68,-122,13,217
443,587,179,-107,42,220
352,599,330,-79,9,221
434,582,287,-107,-79,245
506,415,316,-72,-110,249
703,465,135,-45,-89,249
677,279,82,-58,19,240
597,453,160,-47,34,262
592,217,318,-222,-22,279
774,-61,404,-174,-107,265
943,-126,219,-135,-78,274
950,-157,341,-84,-66,263
1098,-130,230,-148,-4,272
1048,-396,359,-116,21,252
944,-179,446,-112,3,266
1092,-466,251,-198,-64,263
1162,-596,268,-151,29,277
971,-657,182,-155,-18,242
1106,-637,272,-156,20,267
836,-872,127,-232,-32,212
1107,-872,143,-113,-25,250
743,-743,135,-199,12,211
893,-1150,-75,-176,-14,237
800,-780,109,-151,52,259
712,-1193,22,-281,12,231
917,-1203,39,-112,88,250
526,-1029,72,-219,107,194
794,-1278,84,-146,59,196
616,-982,325,-211,95,164
436,-1448,204,-222,33,120
672,-1148,-40,7,39,128
574,-788,-9,-130,138,134
393,-1319,26,-168,158,140
369,-1095,49,-36,174,129
220,-1000,148,-87,123,90
267,-1088,74,-66,67,79
263,-1012,24,-33,62,83
241,-956,-34,-56,51,59
223,-984,-79,-73,46,53
213,-1036,-96,-59,62,59
190,-1020,-95,-33,65,40
102,-924,-75,-32,34,10
103,-901,-96,-47,-21,2
153,-901,-120,-40,-40,0
177,-884,-154,-42,-40,-3
233,-920,-187,-20,-7,10
201,-884,-178,-9,20,12
198,-948,-153,-18,21,16
171,-966,-134,7,14,10
173,-912,-158,5,-10,-7
197,-853,-201,-8,-6,-3
182,-915,-203,-7,16,10
156,-868,-198,3,28,9
