accX,accY,accZ,gyroX,gyroY,gyroZ
609,-157,171,94,212,-196
767,-69,-79,161,228,-187
539,276,-103,92,245,-186
754,-31,-35,55,239,-159
369,150,225,87,161,-201
424,443,144,48,114,-208
-255,567,637,32,173,-128
-513,783,739,53,93,-39
-465,833,591,30,17,51
-165,582,481,-17,-25,143
174,283,415,-27,-62,178
484,241,325,-51,-61,181
651,125,451,-86,-79,176
985,5,383,-30,-44,163
865,139,473,-43,-18,138
927,78,406,-99,-93,112
982,23,418,-57,-67,105
827,129,386,-62,-72,101
758,44,403,-100,-155,100
944,28,172,-46,-97,123
661,35,259,-80,-160,125
1061,-108,-17,-113,-207,114
912,-145,151,-21,-90,150
887,-160,263,-81,-186,130
895,-319,314,-28,-139,166
931,-422,111,33,-195,167
1072,-388,-77,114,-61,243
605,-509,82,22,-225,201
1450,-899,-332,-13,-235,165
856,-815,-27,174,-33,266
958,-951,-129,-8,-231,173
973,-1228,-12,142,-88,224
614,-875,-71,218,-70,241
559,-892,-187,132,-113,226
300,-937,-46,68,-166,227
886,-1191,-475,35,-172,227
872,-1215,-358,57,-1,241
613,-1284,-80,18,63,222
519,-1490,154,49,34,146
355,-1444,165,149,-16,51
139,-1231,145,198,-116,-14
16,-1061,134,166,-234,-50
19,-1016,64,114,-335,-58
-22,-1003,88,77,-406,-46
-55,-1002,-19,81,-436,-46
10,-941,-139,116,-436,-50
101,-847,-167,123,-436,-19
170,-843,-174,114,-381,17
294,-889,-145,108,-250,57
226,-860,-58,114,-112,107
222,-859,29,79,-29,148
135,-883,121,34,36,160
49,-983,193,-5,48,156
18,-1044,225,-9,44,159
8,-1093,247,-3,29,156
45,-1056,237,21,14,138
56,-1041,253,3,19,105
-45,-1020,299,10,0,72
-42,-918,306,7,-43,52
30,-876,288,-26,-48,50
62,-927,303,-47,-11,48
50,-952,324,-52,26,46
17,-1003,349,-60,67,41
-51,-1051,371,-54,93,29
-164,-1065,408,-28,85,4
-244,-1023,411,3,42,-19
-271,-951,389,20,-2,-29
-241,-930,340,17,-27,-25
-168,-911,288,21,-24,-12
-97,-883,255,7,11,-2
-109,-911,263,-5,57,0
-172,-939,310,-15,73,0
-203,-954,327,-5,57,1
-166,-938,310,-2,33,-1
-134,-952,297,-2,37,-3
-168,-956,312,0,46,-7
-157,-947,310,1,48,-4
-172,-993,311,-4,59,-9
-228,-975,324,14,47,-18
