accX,accY,accZ,gyroX,gyroY,gyroZ
867,-1454,-1136,-314,380,-286
795,-1402,-963,-298,294,-332
936,-1195,-766,-279,225,-350
995,-1073,-573,-250,226,-306
1131,-1065,-369,-156,279,-240
972,-871,-153,-24,350,-218
821,-581,-20,33,406,-225
431,-546,17,141,394,-242
455,-203,-131,247,324,-250
350,28,-108,172,367,-231
4,32,102,111,280,-204
108,96,139,79,177,-177
66,78,196,94,175,-137
-31,316,287,101,114,-76
155,382,366,-2,94,-37
119,185,540,-17,87,-1
149,341,589,11,60,35
238,392,599,-24,18,56
384,380,670,-53,11,84
469,350,761,-71,12,110
613,258,819,-85,-27,110
803,172,780,-65,-39,104
877,213,742,-52,-43,99
983,105,732,-67,-33,85
944,100,713,-40,-41,62
948,171,678,-51,-45,53
949,64,689,-64,-33,46
860,95,718,-39,-43,37
849,148,690,-50,-69,30
892,53,673,-63,-67,32
909,38,669,-33,-54,38
828,59,641,-26,-57,38
856,20,598,-29,-62,45
920,-1,573,-12,-45,63
891,-26,530,5,-41,67
853,102,506,-4,-113,50
1110,37,401,-86,-109,44
1021,-196,441,-43,-3,77
812,-42,557,1,-29,98
899,-32,489,-70,-78,87
938,-243,449,-61,-55,102
654,-159,505,6,-95,109
791,-28,430,-71,-184,107
942,-315,318,-100,-138,128
885,-396,238,-24,-120,160
829,-309,257,-33,-135,169
957,-506,166,-123,-172,154
1005,-777,57,-85,-125,160
892,-721,69,-8,-134,184
1107,-789,-82,-47,-126,182
927,-889,-42,-6,-71,187
860,-860,-89,26,-90,178
878,-840,-94,18,-64,182
678,-906,-31,34,-10,206
571,-925,-25,50,-45,202
694,-985,-99,40,-47,192
554,-1057,-85,77,-8,200
399,-959,-53,82,-59,180
366,-979,-22,15,-116,150
356,-1088,-41,-2,-157,130
365,-1082,-74,16,-178,118
330,-1052,-80,1,-195,108
275,-1042,-60,-19,-240,91
361,-1055,-61,-45,-287,44
485,-1035,-210,-51,-243,20
375,-1065,-117,33,-167,37
267,-947,-69,28,-158,12
216,-979,-51,13,-186,-16
229,-989,-78,13,-193,-33
233,-964,-65,14,-183,-44
232,-942,-58,-2,-151,-47
201,-958,-42,-11,-122,-40
205,-958,-35,-9,-96,-30
200,-946,-16,-2,-66,-21
203,-925,-8,2,-30,-9
152,-922,8,6,-12,-7
143,-910,4,6,-9,-8
114,-915,4,5,-13,-10
109,-921,8,-9,-30,-17
