accX,accY,accZ,gyroX,gyroY,gyroZ
1103,-582,-274,73,415,-22
987,-422,-52,147,436,25
977,-341,103,261,410,33
1164,-192,-75,280,397,28
708,-155,76,225,436,0
429,-357,228,277,268,95
1103,-73,-98,349,325,60
10,-291,514,260,298,-82
400,97,37,329,68,-114
99,306,544,19,192,-119
214,-263,546,112,-47,-214
163,711,376,101,127,-146
-97,209,740,7,56,-60
316,521,608,-33,64,-32
80,234,985,-104,77,-18
219,336,958,-89,25,-8
173,242,1107,-79,58,42
121,248,1143,-49,-6,62
263,268,1039,-78,2,94
151,35,1115,-82,-36,63
347,85,831,-37,-93,67
514,-29,466,63,-72,77
545,533,289,20,0,73
168,199,413,-349,6,98
294,-258,606,-418,-151,88
712,-215,483,-369,-93,132
380,-752,831,-238,-74,56
290,1,697,-75,-267,-4
587,-372,205,-323,-299,46
539,-671,472,-107,-291,9
833,-144,68,-220,-360,68
952,-930,78,-207,-332,0
1151,-104,-412,-40,-370,0
1202,-629,-457,-208,-179,161
1106,-855,-203,-70,-244,84
1003,-404,-375,-146,-237,47
630,-897,-271,-145,-240,52
512,-666,-473,-59,-355,83
696,-1239,-762,-105,-308,230
695,-1181,-769,125,-309,167
629,-988,-896,-7,-330,141
517,-1388,-881,26,-238,190
351,-1138,-647,86,-242,147
456,-1099,-741,107,-191,169
453,-1111,-623,122,-117,131
269,-1040,-407,38,-101,93
223,-939,-457,44,-77,132
244,-941,-415,50,17,147
143,-952,-355,66,38,119
48,-859,-295,71,8,80
43,-793,-313,36,-29,60
103,-840,-352,3,-43,46
99,-828,-324,-5,-33,33
50,-915,-217,-36,-27,15
-94,-957,-81,6,-85,-32
-20,-858,-229,22,-161,-85
100,-772,-356,-6,-152,-103
87,-737,-333,-59,-97,-75
78,-804,-302,-81,-39,-17
62,-931,-253,-67,33,32
19,-909,-207,-16,78,54
-35,-917,-159,-11,87,55
-26,-961,-171,14,76,40
0,-938,-206,23,75,27
-40,-940,-231,45,93,18
-123,-886,-200,47,90,-1
-211,-845,-168,45,51,-26
-177,-797,-209,21,6,-34
-122,-853,-239,0,-4,-32
-123,-817,-227,-3,-10,-29
-74,-824,-226,-17,-11,-17
-31,-855,-232,-16,9,0
-56,-867,-213,-9,35,14
-84,-884,-194,0,39,24
-81,-870,-190,5,26,21
-64,-840,-206,-2,12,14
-62,-865,-219,-19,1,7
-60,-866,-201,-24,-3,0
-58,-888,-200,-21,-6,-2
