accX,accY,accZ,gyroX,gyroY,gyroZ
820,-489,60,-333,-143,-203
1312,-415,-521,-69,26,-153
773,-19,-716,171,424,-17
117,471,-669,90,293,-88
289,361,-350,-116,249,-48
245,-115,144,-18,291,19
-202,330,136,58,282,-109
-82,237,305,-25,208,31
106,152,773,-60,119,92
482,-95,690,6,88,52
624,128,741,-14,105,95
607,-94,983,-7,17,43
776,124,618,35,19,-12
642,80,693,49,66,34
641,202,575,32,36,11
651,187,769,-19,84,63
630,-17,958,-21,-46,26
1021,141,385,60,35,-5
513,287,759,30,63,16
864,157,396,-10,-54,13
804,263,426,27,43,-2
664,238,627,-48,-44,23
1185,45,280,20,11,56
628,225,609,32,77,36
852,191,482,-32,-54,82
804,-20,604,14,64,126
654,95,690,2,-42,114
792,-116,594,9,-6,156
772,-80,584,32,-35,162
876,-236,519,25,3,184
852,-174,586,-20,-180,151
1465,-476,263,-30,-19,196
688,-479,805,110,0,124
1086,-227,441,30,-142,96
955,-545,411,64,6,124
950,-289,507,48,-96,108
896,-695,452,26,-110,113
1148,-456,265,104,-184,81
1017,-446,451,12,-48,142
1104,-671,392,36,-67,147
828,-424,607,17,2,199
805,-826,644,-52,-192,199
1330,-936,253,25,-105,165
787,-801,634,106,-30,164
986,-837,527,99,-131,124
1013,-996,479,165,-92,97
836,-981,323,269,-152,62
958,-543,240,231,-233,82
993,-716,142,88,-121,94
625,-722,470,107,-59,122
519,-692,445,65,-153,156
747,-796,250,56,-152,172
664,-821,304,28,-112,174
676,-962,276,35,-128,157
706,-861,250,65,-109,140
605,-846,289,28,-90,141
589,-878,262,33,-88,157
453,-854,307,16,-98,164
491,-911,243,-16,-115,163
373,-935,284,2,-85,199
396,-953,177,-1,-47,212
299,-948,210,-30,0,208
65,-924,356,-80,-79,218
198,-1071,190,-116,-113,196
136,-1062,231,-98,-103,162
63,-1047,231,-91,-128,155
135,-1123,148,-75,-134,130
147,-1112,163,-38,-83,89
15,-1035,226,-21,-68,60
-36,-1028,209,-18,-94,30
-25,-974,199,-14,-83,9
-60,-950,214,-35,-78,-2
-94,-989,204,-53,-85,-20
-117,-1005,195,-37,-89,-24
-67,-942,166,-28,-76,-17
-54,-966,173,-38,-42,-9
-68,-996,189,-27,-20,-6
-87,-979,197,-7,-11,-5
-90,-952,195,-13,-18,-7
